camera,frame,prediction,consumers,latency
2,6,None,16,83.3014519215,
2,20,None,16,82.3148570061,
2,16,None,16,82.5206770897,
2,30,None,16,81.5321919918,
1,3,None,16,82.6947369576,
1,7,None,16,82.7370519638,
2,24,None,16,81.8840379715,
1,27,None,16,78.9281859398,
2,9,None,16,84.0691959858,
2,21,None,16,83.1122379303,
2,0,None,16,85.2726969719,
2,7,None,16,84.3231220245,
2,22,None,16,82.539550066,
1,12,None,16,82.5739281178,
2,4,None,16,84.7529120445,
1,0,None,16,83.794864893,
1,14,None,16,81.954873085,
2,34,None,16,81.9944939613,
1,26,None,16,81.1244559288,
1,28,None,16,80.1596419811,
2,26,None,16,83.3587620258,
2,29,None,16,83.3982698917,
1,31,None,16,80.5429260731,
1,43,None,16,78.5543758869,
2,58,None,16,80.7210030556,
2,67,None,16,79.7752790451,
2,11,None,16,85.9566090107,
2,14,None,16,85.0071969032,
1,17,None,16,83.1560881138,
2,40,None,16,83.1654059887,
2,15,None,16,85.3407809734,
2,19,None,16,85.383439064,
1,20,None,16,83.6535251141,
2,49,None,16,82.694259882,
1,25,None,16,82.824696064,
1,35,None,16,80.8349730968,
1,9,None,16,84.9983620644,
2,33,None,16,84.0338139534,
2,37,None,16,84.1675920486,
1,19,None,16,84.1790258884,
1,45,None,16,80.3428440094,
1,47,None,16,80.3803639412,
1,8,None,16,85.5340750217,
1,10,None,16,85.551954031,
2,55,None,16,82.7856879234,
1,37,None,16,81.7960119247,
2,69,None,16,81.9857409,
1,41,None,16,81.0177059174,
2,59,None,16,83.1806819439,
1,33,None,16,83.2181351185,
2,82,None,16,80.3565809727,
1,56,None,16,79.3680729866,
1,21,None,16,84.5212678909,
1,22,None,16,84.5319769382,
1,49,None,16,80.7075591087,
2,85,None,16,80.7176840305,
1,42,None,16,81.872852087,
1,51,None,16,80.9089720249,
1,11,None,16,87.0624148846,
1,29,None,16,84.1094720364,
2,75,None,16,82.2778310776,
2,77,None,16,82.313931942,
2,39,None,16,86.5084729195,
2,46,None,16,85.5166471004,
1,36,None,16,83.6989619732,
1,52,None,16,81.736964941,
2,91,None,16,80.9537570477,
1,68,None,16,79.9917669296,
2,66,None,16,84.1377210617,
2,78,None,16,83.1739919186,
2,102,None,16,80.4119229317,
2,104,None,16,80.4229390621,
1,55,None,16,82.587831974,
2,90,None,16,82.6217050552,
1,65,None,16,80.7741661072,
2,113,None,16,79.8189430237,
2,88,None,16,83.0069670677,
1,59,None,16,82.0441589355,
1,34,None,16,85.1931080818,
1,46,None,16,84.205231905,
2,120,None,16,80.3839459419,
2,130,None,16,79.3925030231,
1,72,None,16,80.646009922,
1,75,None,16,80.6776769161,
2,93,None,16,82.9542510509,
1,58,None,16,82.9955189228,
2,107,None,16,82.1426510811,
1,91,None,16,79.1799719334,
2,109,None,16,82.3307700157,
2,121,None,16,80.365516901,
1,83,None,16,80.5265259743,
2,127,None,16,80.5473160744,
1,62,None,16,83.7336330414,
1,64,None,16,82.7766590118,
2,81,None,16,84.9152669907,
1,54,None,16,84.9553890228,
2,132,None,16,80.1220779419,
2,136,None,16,80.1309390068,
1,77,None,16,82.2976861,
2,122,None,16,81.3371610641,
2,95,None,16,84.4667949677,
2,126,None,16,81.5050489902,
1,94,None,16,80.6600389481,
2,143,None,16,79.6706678867,
2,138,None,16,80.842222929,
1,107,None,16,78.8523440361,
1,87,None,16,82.0364849567,
2,131,None,16,81.0911369324,
2,103,None,16,84.2948141098,
1,67,None,16,84.3349299431,
2,89,None,16,86.4950640202,
2,96,None,16,85.5353710651,
1,92,None,16,81.7065389156,
2,140,None,16,81.7279500961,
2,128,None,16,82.9264810085,
2,145,None,16,80.9744260311,
1,71,None,16,85.1288719177,
2,110,None,16,85.1396551132,
2,117,None,16,84.3149468899,
2,133,None,16,82.347892046,
2,163,None,16,79.4970839024,
2,170,None,16,79.540941,
2,141,None,16,81.7081670761,
1,105,None,16,80.7602570057,
1,103,None,16,80.9746389389,
2,153,None,16,81.0375509262,
1,85,None,16,84.1893219948,
1,89,None,16,83.2314050198,
2,191,None,16,78.3667368889,
2,205,None,16,76.4032900333,
1,116,None,16,80.5445299149,
2,173,None,16,79.5529339314,
1,97,None,16,82.7452099323,
1,102,None,16,81.795388937,
1,86,None,16,84.9469640255,
2,152,None,16,81.9809370041,
2,147,None,16,83.1078109741,
2,154,None,16,82.1505448818,
1,108,None,16,82.3159999847,
1,115,None,16,81.3243119717,
1,104,None,16,82.4924380779,
2,155,None,16,82.5321381092,
2,162,None,16,81.6679980755,
2,166,None,16,81.6844251156,
2,229,None,16,75.8466539383,
1,161,None,16,75.8833539486,
1,118,None,16,81.0174529552,
1,134,None,16,79.0492138863,
2,156,None,16,83.1848249435,
1,110,None,16,82.2027719021,
