camera,frame,prediction,consumers,latency
1,12,None,50,34.9444348812,
2,64,None,50,30.97260499,
2,22,None,50,36.2119588852,
1,11,None,50,35.2488639355,
1,27,None,50,33.4092109203,
1,68,None,50,28.4440720081,
2,29,None,50,35.6223080158,
2,74,None,50,30.659209013,
2,49,None,50,33.8470489979,
2,160,None,50,22.8999190331,
2,25,None,50,36.0577569008,
1,15,None,50,36.0928580761,
2,1,None,50,39.2519340515,
2,72,None,50,31.3073000908,
2,11,None,50,38.4600150585,
1,7,None,50,37.4960229397,
2,17,None,50,37.7027420998,
2,28,None,50,36.7630560398,
2,30,None,50,36.9641981125,
2,34,None,50,36.0024409294,
1,95,None,50,26.2319378853,
2,140,None,50,26.286864996,
2,32,None,50,37.5086100101,
2,137,None,50,26.5576980114,
1,77,None,50,29.7746360302,
2,122,None,50,28.834403038,
2,37,None,50,37.0512459278,
2,43,None,50,37.0942530632,
1,85,None,50,28.704351902,
2,157,None,50,25.7756381035,
1,20,None,50,38.0159809589,
2,61,None,50,36.0708389282,
1,141,None,50,22.2775430679,
1,156,None,50,20.3857591152,
1,111,None,50,26.6942288876,
2,185,None,50,23.7297799587,
2,128,None,50,29.8854970932,
1,132,None,50,23.9238460064,
2,84,None,50,34.107211113,
2,87,None,50,34.1540439129,
2,285,None,50,14.3150129318,
1,233,None,50,9.32658600807,
1,135,None,50,24.5336270332,
2,226,None,50,20.6145401001,
2,188,None,50,24.7937340736,
2,193,None,50,24.8041009903,
2,114,None,50,32.0604500771,
2,145,None,50,29.3883340359,
2,348,None,50,6.55783009529,
2,243,None,50,20.6597878933,
1,186,None,50,18.6698589325,
2,222,None,50,22.9455330372,
2,225,None,50,21.9812591076,
1,105,None,50,30.2267971039,
2,155,None,50,29.2875220776,
2,398,None,50,1.4747068882,
2,295,None,50,14.5846788883,
2,310,None,50,12.6334869862,
2,237,None,50,21.8076770306,
1,181,None,50,19.8435060978,
1,125,None,50,28.0676660538,
2,211,None,50,25.6113450527,
2,405,None,50,2.75720500946,
1,279,None,50,4.85127806664,
1,192,None,50,19.9549229145,
2,352,None,50,8.99350690842,
2,266,None,50,20.1621379852,
2,268,None,50,20.1765170097,
2,408,None,50,2.37414598465,
1,262,None,50,8.53335905075,
2,372,None,50,7.54632806778,
2,299,None,50,16.7802898884,
1,244,None,50,12.3277978897,
2,414,None,50,3.49924397469,
1,302,None,50,2.53307700157,
2,378,None,50,7.68255496025,
2,402,None,50,4.72818994522,
2,374,None,50,7.89670991898,
2,375,None,50,8.40779995918,
1,296,None,50,4.61648893356,
2,415,None,50,4.78821492195,
2,412,None,50,4.95207500458,
2,446,None,50,1.2644970417,
1,334,None,50,0.579401016235,
1,336,None,50,1.02432990074,
2,467,None,50,0.617178916931,
2,470,None,50,1.22899389267,
2,469,None,50,1.86655211449,
2,487,None,50,0.860263109207,
1,357,None,50,1.16253995895,
1,360,None,50,0.502350091934,
2,493,None,50,0.872042894363,
2,497,None,50,1.4718298912,
2,514,None,50,1.13079810143,
1,380,None,50,0.763895988464,
2,525,None,50,0.392595052719,
1,384,None,50,0.503314971924,
2,537,None,50,0.789946079254,
2,541,None,50,1.28306794167,
2,550,None,50,1.23643088341,
2,552,None,50,0.885788917542,
1,406,None,50,0.990325927734,
1,412,None,50,0.881494045258,
2,564,None,50,1.25553488731,
2,579,None,50,0.633836984634,
1,428,None,50,0.364375114441,
2,589,None,50,0.717349052429,
2,595,None,50,0.373549938202,
1,438,None,50,0.844212055206,
2,604,None,50,0.461009025574,
1,443,None,50,0.579394102097,
1,456,None,50,0.675851106644,
2,631,Unknown,50,0.973332881927,
1,465,None,50,1.12338209152,
2,635,Unknown,50,1.52938604355,
2,636,Unknown,50,1.96121811867,
1,470,None,50,1.13440895081,
2,646,Unknown,50,0.73859000206,
2,657,None,50,0.610183954239,
2,661,None,50,1.00720500946,
2,676,None,50,0.715703964233,
2,687,None,50,0.95513510704,
2,702,None,50,0.551904916763,
1,526,None,50,0.615617036819,
2,722,None,50,0.788362979889,
2,736,None,50,0.368928909302,
1,547,None,50,0.837714910507,
2,765,None,50,0.896996974945,
2,764,None,50,1.05556702614,
2,768,None,50,1.66261506081,
1,562,None,50,1.67396092415,
1,565,None,50,0.877191066742,
2,773,None,50,0.992892026901,
2,775,None,50,1.11129999161,
1,569,None,50,1.72163796425,
1,573,None,50,1.36122107506,
1,581,None,50,1.15160393715,
2,802,None,50,1.0823559761,
1,595,None,50,1.20811891556,
2,817,None,50,0.803647
