camera,frame,prediction,consumers,latency
2,1,None,8,292.51791811,
2,5,None,8,292.533348083,
2,9,None,8,292.748008966,
2,12,None,8,291.784089088,
2,6,None,8,292.954632044,
1,5,None,8,292.015547991,
2,0,None,8,293.326487064,
2,7,None,8,293.36481905,
1,2,None,8,292.563783884,
2,22,None,8,291.606085062,
2,2,None,8,293.763854027,
2,4,None,8,294.190206051,
1,1,None,8,293.342312098,
1,3,None,8,293.352220058,
2,3,None,8,294.621886969,
2,13,None,8,293.664114952,
2,8,None,8,294.846040964,
2,10,None,8,293.906694889,
1,0,None,8,294.049443007,
2,15,None,8,294.083939075,
2,21,None,8,293.230401039,
1,16,None,8,292.294094086,
2,16,None,8,294.459850073,
2,23,None,8,293.506073952,
1,4,None,8,294.669497013,
2,18,None,8,294.727483034,
2,17,None,8,294.870688915,
2,20,None,8,293.910665989,
2,25,None,8,294.089560032,
1,12,None,8,294.1242311,
2,24,None,8,294.339339972,
2,27,None,8,294.382311106,
2,11,None,8,295.579072952,
2,14,None,8,295.639153004,
1,6,None,8,295.837353945,
2,19,None,8,295.877276897,
2,32,None,8,294.028659105,
2,44,None,8,293.073885918,
2,30,None,8,294.267324924,
1,26,None,8,293.303716898,
1,7,None,8,296.487369061,
2,26,None,8,295.522530079,
1,14,None,8,296.2262609,
2,34,None,8,295.287311077,
1,17,None,8,296.096803904,
2,36,None,8,296.12915802,
1,18,None,8,296.295119047,
2,35,None,8,296.337656975,
1,8,None,8,297.539578915,
1,10,None,8,297.574723959,
1,9,None,8,297.783943892,
1,13,None,8,297.822866917,
2,58,None,8,294.989707947,
2,64,None,8,294.034501076,
1,28,None,8,296.184597015,
2,51,None,8,295.195911884,
2,29,None,8,298.380227089,
2,31,None,8,297.427201033,
1,20,None,8,297.581918955,
2,49,None,8,296.629492044,
2,40,None,8,296.804182053,
1,25,None,8,296.845134974,
1,23,None,8,297.069485903,
2,42,None,8,297.128887892,
1,33,None,8,296.403968096,
2,59,None,8,296.499967098,
1,32,None,8,296.691694975,
2,55,None,8,296.728511095,
1,19,None,8,298.892627001,
