camera,frame,prediction,consumers,latency
2,1,None,16,84.2886779308,
2,5,None,16,83.3175640106,
2,12,None,16,82.5114810467,
2,32,None,16,80.5488579273,
2,17,None,16,82.7137739658,
1,5,None,16,82.7227330208,
2,8,None,16,83.8928029537,
2,10,None,16,83.9049789906,
2,2,None,16,84.0717918873,
1,6,None,16,83.1133038998,
1,1,None,16,83.2664940357,
1,4,None,16,83.2776229382,
2,3,None,16,84.4443030357,
2,13,None,16,83.4813899994,
1,2,None,16,83.6395759583,
2,25,None,16,82.7055590153,
1,38,None,16,78.9014809132,
2,68,None,16,78.9332950115,
2,23,None,16,83.068308115,
2,51,None,16,80.0792429447,
2,18,None,16,84.2360589504,
2,31,None,16,82.265417099,
2,27,None,16,83.410243988,
2,35,None,16,82.4464330673,
1,16,None,16,82.5908329487,
2,44,None,16,81.6324129105,
1,15,None,16,82.814770937,
2,48,None,16,81.8627340794,
2,36,None,16,83.0720539093,
2,47,None,16,82.1050388813,
2,28,None,16,84.2582380772,
1,13,None,16,84.2946650982,
2,54,None,16,81.4591009617,
2,57,None,16,81.495098114,
1,32,None,16,81.6266191006,
1,50,None,16,78.6633179188,
2,60,None,16,81.7995529175,
2,63,None,16,80.830796957,
2,38,None,16,83.9675540924,
2,52,None,16,82.0054779053,
2,64,None,16,81.1515090466,
2,71,None,16,80.1884989738,
2,70,None,16,81.3560359478,
2,84,None,16,79.4046208858,
2,41,None,16,83.6025350094,
2,43,None,16,83.6771221161,
1,18,None,16,84.9490859509,
2,42,None,16,83.9784660339,
2,62,None,16,82.1562008858,
2,65,None,16,82.2053229809,
1,60,None,16,79.4735679626,
1,61,None,16,79.5163619518,
2,74,None,16,81.782861948,
2,76,None,16,81.7944219112,
2,53,None,16,84.1000568867,
2,56,None,16,84.111481905,
2,80,None,16,82.2940359116,
1,79,None,16,78.3304679394,
2,87,None,16,81.4877789021,
2,108,None,16,79.5323801041,
2,45,None,16,85.7233259678,
1,24,None,16,85.7347118855,
1,23,None,16,85.9148108959,
2,61,None,16,83.9520640373,
1,40,None,16,84.1228408813,
2,83,None,16,82.132160902,
2,99,None,16,81.3009479046,
1,70,None,16,80.3616719246,
2,79,None,16,83.5845429897,
1,76,None,16,79.6201350689,
2,73,None,16,83.7598230839,
1,48,None,16,83.7709050179,
1,126,None,16,72.9260590076,
2,185,None,16,72.9355769157,
2,116,None,16,80.1941819191,
2,123,None,16,79.2113199234,
2,50,None,16,87.4113500118,
1,30,None,16,86.4468679428,
2,72,None,16,84.5859351158,
2,92,None,16,82.6221709251,
2,101,None,16,81.8911290169,
2,105,None,16,81.9215040207,
2,118,None,16,81.0597510338,
1,81,None,16,80.0704801083,
2,119,None,16,81.2624208927,
2,142,None,16,78.3164329529,
1,57,None,16,83.4612550735,
2,94,None,16,83.4724569321,
1,135,None,16,73.6455938816,
1,136,None,16,73.6553359032,
2,146,None,16,78.8347010612,
2,160,None,16,77.8498439789,
1,39,None,16,87.0833311081,
1,44,None,16,86.1202759743,
2,97,None,16,84.267936945,
1,66,None,16,83.2796120644,
2,183,None,16,75.4663069248,
2,186,None,16,75.5188360214,
1,82,None,16,81.699393034,
1,88,None,16,80.7352159023,
2,86,None,16,85.9032731056,
1,53,None,16,85.9471440315,
2,111,None,16,83.0838179588,
1,73,None,16,83.093421936,
1,138,None,16,75.2846429348,
1,146,None,16,74.3377199173,
2,106,None,16,84.5759749413,
1,74,None,16,83.6213979721,
1,99,None,16,80.8139441013,
2,148,None,16,80.8513159752,
2,98,None,16,85.9845080376,
1,63,None,16,85.9942059517,
2,188,None,16,77.217674017,
2,202,None,16,76.2258410454,
2,134,None,16,82.4128360748,
2,135,None,16,82.4431109428,
2,100,None,16,86.5803229809,
2,112,None,16,84.5922009945,
1,84,None,16,83.7778379917,
2,129,None,16,83.7876420021,
2,226,None,16,73.9674561024,
2,227,None,16,73.9763319492,
1,80,None,16,84.1636059284,
2,125,None,16,84.2052628994,
2,151,None,16,81.4077711105,
2,159,None,16,81.456496954,
1,69,None,16,86.7088289261,
2,114,None,16,85.7460179329,
1,143,None,16,76.9152829647,
1,144,None,16,76.9559259415,
2,139,None,16,84.0942339897,
1,96,None,16,83.1071500778,
2,115,None,16,86.2904200554,
2,124,None,16,85.3029069901,
1,100,None,16,83.4702579975,
2,164,None,16,81.4810249805,
2,243,None,16,74.6586670876,
1,175,None,16,73.6995201111,
2,137,None,16,84.8553268909,
1,95,None,16,83.8689119816,
1,111,None,16,82.1045799255,
1,120,None,16,81.1155159473,
1,78,None,16,87.2867059708,
1,93,None,16,85.3210721016,
2,237,None,16,75.5247030258,
1,167,None,16,75.5329530239,
1,98,None,16,84.7181110382,
1,106,None,16,83.7294108868,
1,90,None,16,85.9175510406,
2,149,None,16,84.9266610146,
2,169,None,16,83.0979139805,
1,123,None,16,82.1357269287,
1,180,None,16,74.2680048943,
1,195,None,16,72.3018980026,
2,178,None,16,82.4557449818,
2,182,None,16,81.4980940819,
2,179,None,16,82.7039330006,
1,130,None,16,81.7149391174,
2,144,None,16,85.8854179382,
1,109,None,16,84.9210219383,
1,133,None,16,81.0818660259,
2,195,None,16,81.0904080868,
1,129,None,16,82.2575080395,
1,137,None,16,81.2709429264,
2,200,None,16,81.4503591061,
2,210,None,16,80.4614629745,
2,167,None,16,84.6320669651,
2,172,None,16,83.6443231106,
1,222,None,16,70.8123960495,
1,224,None,16,69.8535289764,
2,240,None,16,78.0059139729,
1,169,None,16,78.0550420284,
1,101,None,16,87.21261096,
2,150,None,16,87.2446510792,
2,187,None,16,83.393433094,
2,204,None,16,81.4274199009,
2,199,None,16,82.6069459915,
2,207,None,16,81.6462869644,
2,201,None,16,82.800235033,
1,139,None,16,82.8126199245,
2,220,None,16,80.9865529537,
2,223,None,16,81.0250580311,
1,119,None,16,85.1611499786,
2,175,None,16,85.1724469662,
2,324,None,16,71.3616430759,
2,327,None,16,71.3717169762,
2,248,None,16,78.5487360954,
2,254,None,16,77.5967109203,
2,157,None,16,87.7836999893,
1,112,None,16,86.7928090096,
2,206,None,16,82.9520299435,
2,222,None,16,81.9933590889,
1,181,None,16,78.162610054,
2,266,None,16,77.2012889385,
2,208,None,16,83.3527889252,
2,212,None,16,83.3888230324,
2,180,None,16,86.5378630161,
2,197,None,16,84.5493850708,
1,171,None,16,79.7177948952,
2,258,None,16,78.7289090157,
1,236,None,16,71.8910241127,
2,351,None,16,69.9020209312,
1,154,None,16,83.0922811031,
2,224,None,16,82.1314070225,
1,156,None,16,82.3124539852,
2,255,None,16,79.3638780117,
2,177,None,16,87.6093120575,
1,127,None,16,86.6551530361,
2,267,None,16,78.9209830761,
2,301,None,16,75.97915411,
2,239,None,16,82.2127029896,
2,250,None,16,81.2625319958,
2,279,None,16,78.4024529457,
2,280,None,16,78.4358301163,
2,189,None,16,87.5709021091,
1,152,None,16,84.6034049988,
1,150,None,16,84.7665998936,
1,158,None,16,83.7753460407,
1,155,None,16,83.9576880932,
2,225,None,16,83.9963579178,
2,198,None,16,87.1497950554,
1,151,None,16,85.1618709564,
1,184,None,16,81.3239810467,
2,264,None,16,80.3379731178,
1,252,None,16,72.504940033,
1,254,None,16,71.5406908989,
2,272,None,16,80.7028570175,
2,275,None,16,80.7455890179,
2,283,None,16,79.8979210854,
2,295,None,16,78.9344210625,
1,193,None,16,80.098567009,
2,281,None,16,80.1121990681,
2,231,None,16,85.2804369926,
2,235,None,16,84.3182430267,
1,215,None,16,78.455010891,
1,219,None,16,77.4920880795,
1,162,None,16,85.6331379414,
2,245,None,16,83.64676404,
2,365,None,16,72.8273189068,
2,368,None,16,72.8586781025,
2,282,None,16,81.052850008,
1,204,None,16,80.0665090084,
2,251,None,16,84.3359870911,
2,253,None,16,84.3849060535,
2,321,None,16,77.6278049946,
2,333,None,16,76.6367230415,
1,263,None,16,72.8028459549,
2,373,None,16,72.8305799961,
1,212,None,16,80.0285680294,
2,311,None,16,79.273663044,
2,293,None,16,81.4746870995,
2,257,None,16,84.5789539814,
1,182,None,16,84.6219749451,
2,261,None,16,84.8244669437,
1,187,None,16,83.8559839725,
2,385,None,16,72.9854090214,
1,274,None,16,73.0531749725,
1,208,None,16,82.2895610332,
1,190,None,16,84.4147410393,
1,235,None,16,78.5432240963,
2,335,None,16,78.5534479618,
1,157,None,16,88.7511730194,
1,163,None,16,87.7904920578,
1,191,None,16,84.9469358921,
1,192,None,16,84.9852509499,
1,221,None,16,81.1476390362,
2,336,None,16,79.1583929062,
2,276,None,16,84.3297350407,
2,296,None,16,83.3706328869,
2,274,None,16,85.5371129513,
1,196,None,16,84.5819211006,
1,173,None,16,87.7298219204,
1,174,None,16,87.7630410194,
1,194,None,16,84.9098610878,
1,280,None,16,74.0061249733,
1,281,None,16,74.0173809528,
1,199,None,16,85.1903240681,
2,284,None,16,85.7923591137,
1,285,None,16,73.8891830444,
2,417,None,16,72.8988730907,
2,302,None,16,84.0766699314,
1,217,None,16,83.5874350071,
1,277,None,16,75.7505450249,
2,408,None,16,74.7592000961,
2,341,None,16,80.9438788891,
2,345,None,16,81.4613630772,
2,411,None,16,74.6346259117,
