camera,frame,prediction,consumers,latency
1,15,None,352,54.7740180492,
2,105,None,352,47.8635909557,
1,2739,None,352,109.178642035,
1,2,None,352,57.1966700554,
2,3545,None,352,117.503616095,
2,3616,None,352,110.567730904,
2,160,None,352,43.8518760204,
1,137,None,352,40.0319569111,
1,253,None,352,24.082652092,
1,2706,None,352,114.350203037,
2,50,None,352,54.4066390991,
1,2679,None,352,118.776612997,
2,330,None,352,27.8314409256,
2,440,None,352,14.1704640388,
1,74,None,352,49.3746008873,
1,80,None,352,48.4256830215,
2,47,None,352,56.6493051052,
2,333,None,352,28.6877179146,
1,155,None,352,38.8621020317,
1,358,None,352,10.918610096,
2,112,None,352,50.2070469856,
2,197,None,352,42.2711238861,
2,381,None,352,24.4593029022,
1,341,None,352,13.5098390579,
1,346,None,352,13.8946840763,
1,151,None,352,42.5761830807,
2,584,None,352,0.916646003723,
2,600,None,352,1.15880703926,
1,462,None,352,0.810980081558,
1,465,None,352,1.40944004059,
2,651,None,352,0.845017910004,
2,678,None,352,1.01949596405,
2,680,None,352,1.25542593002,
2,686,None,352,0.938817977905,
1,542,None,352,1.29212188721,
1,558,None,352,1.38529706001,
1,569,None,352,1.07362604141,
2,747,None,352,1.17678999901,
2,748,None,352,1.60004711151,
1,602,None,352,0.325870037079,
1,621,None,352,1.06318497658,
2,804,None,352,1.26623892784,
1,676,None,352,0.877085924149,
2,867,None,352,1.47176289558,
2,888,None,352,0.58095407486,
1,707,None,352,1.1763188839,
1,719,None,352,0.754348039627,
1,718,None,352,1.01423096657,
1,721,None,352,1.11327695847,
2,918,None,352,1.22769594193,
2,937,None,352,1.04923701286,
1,739,None,352,0.557867050171,
1,741,None,352,0.815057039261,
2,974,None,352,2.02576494217,
2,984,None,352,1.35431289673,
2,999,None,352,0.961957931519,
1,830,None,352,0.30983710289,
2,1102,None,352,1.11328101158,
1,887,None,352,1.28867411613,
2,1132,None,352,0.395257949829,
2,1135,None,352,0.995450019836,
1,903,None,352,1.28339409828,
1,921,None,352,0.491970062256,
2,1202,None,352,0.43446803093,
1,972,None,352,0.775568962097,
2,1227,None,352,0.412214040756,
1,986,None,352,0.510307073593,
2,1273,None,352,0.900903940201,
2,1286,None,352,1.61095309258,
2,1301,None,352,1.37951493263,
2,1303,None,352,0.982517004013,
2,1311,None,352,1.33001804352,
1,1062,None,352,1.1033680439,
1,1070,None,352,0.902650117874,
2,1342,None,352,0.798614025116,
2,1407,None,352,1.24770402908,
2,1421,None,352,0.849859952927,
1,1164,None,352,0.886070013046,
2,1477,None,352,0.78161406517,
