camera,frame,prediction,consumers,latency
1,5,None,352,56.7722070217,
2,84,None,352,49.8150560856,
2,3549,None,352,117.247674942,
2,3549,None,352,117.296205997,
2,42,None,352,54.5333459377,
1,316,None,352,14.5842130184,
2,3547,None,352,117.882570982,
2,3547,None,352,118.442684889,
2,208,None,352,39.6962170601,
2,306,None,352,29.7689781189,
2,25,None,352,58.0441880226,
2,151,None,352,45.107311964,
2,73,None,352,53.3524310589,
1,57,None,352,51.4018580914,
1,195,None,352,33.5560638905,
1,247,None,352,26.7337949276,
2,3627,None,352,112.421322107,
1,283,None,352,21.4812688828,
1,111,None,352,45.7664721012,
1,130,None,352,43.8196949959,
2,177,None,352,45.0552299023,
2,356,None,352,27.0655229092,
1,2702,None,352,117.24189496,
1,211,None,352,33.2775650024,
1,350,None,352,13.4267570972,
2,465,None,352,14.90061903,
2,371,None,352,27.5815010071,
1,284,None,352,23.6354930401,
2,308,None,352,33.919410944,
2,544,None,352,6.97660088539,
2,457,None,352,17.1431679726,
2,615,None,352,1.06262898445,
1,474,None,352,0.658938884735,
2,632,Unknown,352,0.793680906296,
2,634,Unknown,352,1.45882296562,
2,662,None,352,1.08935308456,
1,520,None,352,1.20911192894,
2,700,None,352,0.820626974106,
1,547,None,352,0.798696994781,
2,728,None,352,0.845947027206,
2,760,None,352,0.527970075607,
2,766,None,352,1.26157093048,
1,598,None,352,0.857213020325,
2,780,None,352,0.945678949356,
2,830,None,352,0.643640995026,
2,839,None,352,0.660988092422,
2,855,None,352,0.772561073303,
1,690,None,352,0.889962911606,
1,728,None,352,0.979017972946,
2,996,None,352,0.627722024918,
2,1016,None,352,1.05588698387,
1,840,None,352,0.702266931534,
1,851,None,352,1.36538004875,
2,1144,None,352,1.00962305069,
2,1145,None,352,1.68123292923,
2,1147,None,352,2.14391803741,
2,1175,None,352,1.28683495522,
1,989,None,352,0.927421092987,
2,1270,None,352,0.544985055923,
1,1026,None,352,1.1405210495,
2,1335,None,352,1.27096104622,
1,1073,None,352,0.867444038391,
2,1372,None,352,1.49153208733,
1,1105,None,352,0.743010044098,
2,1422,None,352,0.901781082153,
2,1504,None,352,1.53864002228,
1,1242,None,352,0.8099360466,
1,1246,None,352,0.410490036011,
2,1556,None,352,1.06693005562,
2,1586,None,352,0.625406980515,
1,1278,None,352,0.847275018692,
1,1310,None,352,0.485858917236,
2,1673,None,352,0.686391115189,
1,1356,None,352,0.787296056747,
2,1693,None,352,1.39327192307,
1,1371,None,352,0.701508998871,
2,1728,None,352,1.33009910583,
1,1426,None,352,0.45561504364,
1,1443,None,352,0.708544969559,
1,1456,None,352,0.802932024002,
2,1844,None,352,1.19251608849,
2,1863,None,352,0.399513959885,
1,1512,None,352,1.24590492249,
1,1567,None,352,0.864244937897,
2,1940,None,352,1.47291994095,
2,1941,None,352,1.09632396698,
2,1998,None,352,0.715221881866,
2,2045,None,352,1.34268093109,
1,1665,None,352,0.442984104156,
2,2060,None,352,1.04806208611,
2,2065,None,352,1.21286511421,
1,1698,None,352,0.876665115356,
1,1715,None,352,1.48847103119,
2,2141,None,352,0.911393880844,
1,1781,None,352,1.53414702415,
2,2196,Unknown,352,1.13094210625,
1,1788,None,352,1.78630590439,
1,1820,None,352,0.416944980621,
1,1851,None,352,1.04257297516,
2,2276,Aquaman,352,1.71262001991,
1,1858,None,352,0.999134063721,
2,2292,None,352,0.918314933777,
1,1898,None,352,1.2115418911,
1,1924,None,352,1.33264803886,
2,2370,None,352,0.935658931732,
2,2393,None,352,0.541762113571,
2,2425,None,352,1.15040802956,
1,1986,None,352,0.75549697876,
2,2451,Unknown,352,1.31367301941,
1,2007,None,352,0.569631099701,
2,2482,Unknown,352,1.81549501419,
1,2028,None,352,0.421065092087,
1,2056,None,352,1.53323698044,
2,2577,None,352,0.668148994446,
1,2115,None,352,1.27746891975,
2,2610,None,352,1.38840198517,
2,2684,None,352,0.525547981262,
1,2194,None,352,1.62611293793,
1,2202,None,352,0.733387947083,
1,2212,None,352,1.34478211403,
2,2769,None,352,1.25558209419,
1,2259,None,352,0.854537010193,
2,2804,None,352,1.46561288834,
2,2845,None,352,1.08360695839,
1,2338,None,352,0.733393907547,
2,2898,None,352,0.846321105957,
2,2909,None,352,1.46168804169,
2,2925,None,352,0.901243925095,
2,2948,None,352,1.01804900169,
2,2980,None,352,1.14316391945,
2,2992,None,352,0.745124101639,
2,3023,None,352,0.95942902565,
2,3027,None,352,0.564703941345,
2,3058,None,352,1.18487405777,
2,3068,None,352,0.887068033218,
1,2505,None,352,0.485822916031,
1,2551,None,352,0.620212078094,
2,3168,None,352,1.24233102798,
1,2599,None,352,1.34124803543,
2,3194,None,352,1.44016098976,
1,2612,None,352,1.04733204842,
1,2615,None,352,0.643989086151,
2,3215,None,352,0.735970020294,
2,3220,None,352,1.33723211288,
2,3314,None,352,0.998976945877,
1,2702,None,352,1.67217898369,
2,3322,None,352,1.35656189919,
1,2744,None,352,0.478061914444,
2,3385,None,352,1.09575390816,
2,3399,Unknown,352,0.696504116058,
1,2827,None,352,0.733985900879,
2,3467,None,352,1.35528588295,
2,3486,None,352,0.473687887192,
1,2851,None,352,1.05852103233,
1,2858,None,352,1.14243507385,
2,3547,None,352,0.761720895767,
2,3549,None,352,0.974981069565,
2,3627,None,352,1.11186289787,
1,2994,None,352,1.22227811813,
1,2996,None,352,0.519860029221,
1,3044,None,352,1.1099820137,
1,3063,None,352,0.755640983582,
2,3765,None,352,0.691142082214,
2,3775,None,352,0.7855489254,
2,3788,None,352,0.392046928406,
1,3138,None,352,1.57798910141,
2,3934,None,352,0.737436056137,
1,3235,None,352,0.708415985107,
2,3979,None,352,0.804630994797,
2,3981,None,352,1.48351788521,
1,3264,None,352,0.795363903046,
2,4035,None,352,0.976145029068,
2,4070,None,352,1.09643697739,
2,4102,None,352,0.701715946198,
1,3388,None,352,0.336498022079,
1,3401,None,352,1.44353294373,
2,4198,Aquaman,352,0.672457933426,
1,3491,None,352,1.32584500313,
1,3505,None,352,1.42903399467,
2,4316,Unknown,352,1.05838799477,
2,4338,Aquaman,352,0.594183921814,
1,3553,None,352,1.20056390762,
1,3555,None,352,0.796901941299,
1,3563,None,352,0.614542007446,
1,3566,None,352,1.21109509468,
2,4382,None,352,0.393497943878,
1,3577,None,352,0.992495059967,
2,4388,None,352,1.16371393204,
1,3581,None,352,1.4292550087,
1,3588,None,352,1.51348495483,
2,4414,None,352,1.17385196686,
2,4429,None,352,0.803271055222,
2,4433,None,352,0.401631116867,
2,4442,None,352,0.392560958862,
2,4451,None,352,0.404649019241,
2,4452,None,352,1.07754588127,
2,4477,None,352,0.694516897202,
1,3684,None,352,1.33189797401,
2,4517,None,352,1.44347190857,
2,4522,Unknown,352,1.04954195023,
1,3744,None,352,0.673662900925,
1,3814,None,352,1.3190279007,
2,4678,None,352,1.40889191628,
2,4681,None,352,1.00259590149,
1,3879,None,352,0.485615968704,
2,4761,None,352,0.572248935699,
1,3916,None,352,0.801187992096,
2,4811,None,352,0.400276899338,
1,3954,None,352,1.5178809166,
1,3974,None,352,1.13722491264,
2,4955,None,352,0.802572965622,
2,4972,None,352,0.704497098923,
2,5013,None,352,1.22476792336,
1,4107,None,352,0.832818031311,
2,5084,Unknown,352,0.779710054398,
2,5117,None,352,1.39542388916,
1,4185,None,352,0.492923974991,
1,4203,None,352,1.11013793945,
1,4210,None,352,0.87925195694,
2,5171,None,352,0.483995914459,
2,5174,None,352,1.08241891861,
2,5232,None,352,0.714176893234,
2,5267,None,352,0.400623083115,
1,4312,None,352,1.02673411369,
1,4318,None,352,1.14424705505,
1,4397,None,352,0.630788087845,
2,5420,None,352,0.742661952972,
1,4454,None,352,0.857206106186,
2,5492,None,352,0.548295021057,
2,5503,None,352,0.768076896667,
1,4490,None,352,1.39631390572,
2,5538,None,352,1.04170608521,
1,4525,None,352,1.1576089859,
1,4546,None,352,0.803594112396,
1,4555,None,352,1.03588700294,
1,4583,None,352,1.18934011459,
2,5627,None,352,0.832142114639,
1,4590,None,352,1.42463994026,
1,4618,None,352,1.01896905899,
2,5674,None,352,1.11776804924,
1,4665,None,352,0.550101041794,
1,4693,None,352,1.17661190033,
2,5769,None,352,0.767121076584,
2,5775,None,352,0.353444099426,
1,4713,None,352,1.45902204514,
2,5789,None,352,1.07875394821,
2,5795,None,352,0.65886592865,
2,5805,None,352,0.811697006226,
2,5814,None,352,0.769047021866,
2,5858,None,352,1.40283799171,
2,5861,None,352,1.0665409565,
1,4801,None,352,1.18629097939,
2,5916,None,352,0.794579982758,
2,5919,None,352,1.38267493248,
1,4832,None,352,0.338624954224,
2,5931,None,352,1.04741811752,
2,5975,None,352,1.17997908592,
1,4880,None,352,1.28975296021,
1,4892,None,352,0.93657708168,
2,6042,None,352,1.06433606148,
1,4931,None,352,1.67129302025,
1,5036,None,352,0.848180055618,
2,6194,None,352,0.503302097321,
2,6197,None,352,1.09764194489,
2,6199,None,352,1.69408798218,
1,5076,None,352,0.833328008652,
2,6242,None,352,0.989953994751,
1,5090,None,352,0.41038608551,
2,6245,None,352,0.912542104721,
2,6248,None,352,1.12141799927,
2,6289,None,352,0.709739923477,
1,5129,None,352,1.31181097031,
2,6296,None,352,1.52594089508,
2,6345,Aquaman,352,1.13007307053,
2,6372,None,352,0.966558933258,
1,5203,None,352,0.80094909668,
1,5208,None,352,0.911510944366,
2,6404,None,352,0.609694004059,
1,5226,None,352,1.20254802704,
1,5229,None,352,0.800904035568,
2,6415,Unknown,352,1.40012693405,
2,6433,None,352,1.0007750988,
2,6458,None,352,0.615477085114,
1,5271,None,352,0.723592042923,
1,5276,None,352,1.32513093948,
2,6473,None,352,0.49586892128,
2,6482,None,352,0.603972911835,
2,6502,None,352,0.709085941315,
1,5329,None,352,0.725630998611,
2,6560,None,352,1.33439397812,
1,5357,None,352,0.943464040756,
2,6596,None,352,0.459206104279,
1,5379,None,352,1.06348896027,
2,6606,Unknown,352,0.786345005035,
2,6629,None,352,1.41485309601,
2,6637,None,352,0.952585935593,
2,6699,None,352,1.03660488129,
1,5471,None,352,0.658382892609,
2,6723,None,352,0.759995937347,
2,6743,None,352,1.3704431057,
1,5511,None,352,0.480413913727,
1,5535,None,352,1.10394906998,
1,5570,None,352,0.660729885101,
2,6856,None,352,0.788542032242,
2,6858,None,352,1.1243159771,
2,6877,None,352,1.12995290756,
1,5611,None,352,0.446010112762,
1,5621,None,352,1.06078195572,
1,5651,None,352,1.19306397438,
2,6956,Aquaman,352,1.06058692932,
1,5671,None,352,0.884782075882,
1,5680,None,352,1.4881799221,
1,5683,None,352,1.07517290115,
1,5688,None,352,1.73320198059,
2,7004,None,352,0.42742395401,
1,5706,None,352,1.08030509949,
2,7023,None,352,0.700278043747,
1,5753,None,352,0.825993061066,
2,7129,None,352,0.598505020142,
1,5807,None,352,1.19597196579,
2,7179,None,352,1.33263301849,
2,7182,None,352,0.92817401886,
1,5855,None,352,0.337224960327,
1,5867,None,352,1.11500811577,
2,7211,None,352,0.741278886795,
2,7226,None,352,0.411525011063,
1,5891,None,352,1.40660405159,
2,7235,None,352,1.07488703728,
1,5904,None,352,1.17804789543,
1,5911,None,352,1.27286601067,
1,5924,None,352,1.42264604568,
1,5950,None,352,0.657124042511,
2,7321,Aquaman,352,1.43087697029,
2,7327,Aquaman,352,1.04370188713,
1,5966,None,352,1.82318401337,
1,6017,None,352,0.952088117599,
2,7415,None,352,1.05713796616,
2,7431,None,352,0.647352933884,
2,7494,None,352,0.779824018478,
2,7506,None,352,1.38085103035,
2,7609,None,352,1.05937504768,
1,6204,None,352,1.01516389847,
2,7632,None,352,0.574963092804,
2,7653,None,352,0.948072910309,
1,6238,None,352,0.855576038361,
2,7680,None,352,0.962043046951,
1,6273,None,352,1.06831502914,
1,6289,None,352,1.18124604225,
1,6292,None,352,0.777456998825,
1,6295,None,352,1.4501709938,
1,6316,None,352,0.621548891068,
2,7825,None,352,0.766757965088,
1,6382,None,352,1.38445305824,
1,6524,None,352,0.587594985962,
1,6532,None,352,0.754950046539,
1,6620,None,352,0.920697927475,
1,6645,None,352,1.03714704514,
1,6674,None,352,1.07804894447,
1,6802,None,352,0.789951086044,
1,6838,None,352,0.407918930054,
1,6886,None,352,0.56674695015,
1,6945,None,352,0.787087917328,
