camera,frame,prediction,consumers,latency
2,3590,None,352,112.765090942,
2,141,None,352,43.8885018826,
2,3625,None,352,109.22765708,
2,29,None,352,55.3195669651,
1,320,None,352,13.5510299206,
2,3573,None,352,114.803942919,
2,3622,None,352,110.866472006,
2,3610,None,352,112.11156106,
1,132,None,352,41.1638839245,
2,3570,None,352,116.432828903,
2,3570,None,352,116.697156906,
2,3574,None,352,116.010745049,
2,46,None,352,56.159662962,
2,67,None,352,54.4170811176,
2,138,None,352,47.4726641178,
2,290,None,352,32.8118200302,
2,78,None,352,53.9251229763,
2,217,None,352,39.9834489822,
2,241,None,352,38.1599230766,
1,10,None,352,59.348788023,
1,324,None,352,16.3884100914,
2,3615,None,352,113.643874884,
1,246,None,352,27.6566619873,
1,34,None,352,55.9747109413,
1,382,None,352,8.01844906807,
1,198,None,352,34.1777079105,
2,340,None,352,29.2174830437,
1,368,None,352,10.9156770706,
2,555,None,352,4.0993950367,
2,149,None,352,49.752933979,
1,233,None,352,31.8103740215,
1,441,None,352,0.983958959579,
1,534,None,352,0.839987039566,
2,712,None,352,1.15144205093,
2,726,None,352,0.983762979507,
1,577,None,352,1.08414793015,
1,583,None,352,0.681261062622,
2,755,None,352,1.34267807007,
2,762,None,352,0.864708900452,
1,597,None,352,0.860882043839,
2,771,None,352,0.985403060913,
1,618,None,352,0.644438028336,
1,647,None,352,0.767040014267,
2,890,None,352,0.602832078934,
2,892,None,352,0.96244096756,
1,711,None,352,0.972357034683,
2,921,None,352,1.22225499153,
2,949,None,352,0.599994897842,
1,747,None,352,1.15201807022,
1,773,None,352,0.720606088638,
2,987,None,352,1.32795190811,
1,789,None,352,0.535033941269,
2,1010,None,352,1.31838798523,
1,829,None,352,1.43312811852,
1,834,None,352,1.03351092339,
2,1067,None,352,1.12919688225,
1,849,None,352,1.26620197296,
2,1089,None,352,1.39147806168,
2,1120,None,352,1.02535605431,
2,1123,None,352,0.472357988358,
2,1139,None,352,1.14501595497,
1,933,None,352,1.15345096588,
1,942,None,352,0.773622989655,
1,959,None,352,0.982800006866,
2,1214,None,352,0.866925954819,
1,984,None,352,1.39804291725,
1,993,None,352,0.491812944412,
1,1039,None,352,0.752036094666,
1,1042,None,352,1.10202407837,
2,1322,None,352,0.714982032776,
1,1086,None,352,1.44293689728,
2,1367,None,352,0.912930965424,
1,1103,None,352,0.785202026367,
2,1403,None,352,1.1529378891,
1,1140,None,352,0.933800935745,
1,1174,None,352,1.57165598869,
1,1192,None,352,1.37695002556,
2,1498,None,352,0.593200922012,
2,1525,None,352,0.707138061523,
1,1243,None,352,1.31339097023,
2,1559,None,352,0.411422014236,
2,1565,None,352,1.11945390701,
1,1261,None,352,0.717819929123,
2,1581,None,352,1.35618305206,
1,1299,None,352,1.33559799194,
1,1302,None,352,0.547683954239,
1,1307,None,352,1.17733502388,
1,1343,None,352,1.27565288544,
2,1691,None,352,0.827281951904,
1,1412,None,352,0.514434099197,
2,1771,None,352,1.17361092567,
1,1434,None,352,0.783238887787,
2,1781,None,352,1.30995392799,
2,1787,None,352,0.92573595047,
2,1782,None,352,2.54449391365,
2,1803,None,352,0.548435926437,
2,1814,None,352,0.741373062134,
1,1469,None,352,1.44481301308,
1,1475,None,352,1.04279398918,
2,1845,None,352,0.654160022736,
2,1865,None,352,0.764555931091,
2,1919,None,352,1.24454498291,
2,1928,None,352,0.847050905228,
1,1561,None,352,1.44373989105,
1,1564,None,352,1.11657810211,
1,1601,None,352,0.419629096985,
1,1604,None,352,0.826965093613,
2,1988,None,352,0.53936290741,
1,1609,None,352,1.16358399391,
2,2020,None,352,1.08688807487,
2,2025,None,352,0.675929069519,
2,2094,None,352,0.465046882629,
2,2146,None,352,0.592762947083,
1,1759,None,352,1.11947393417,
2,2190,None,352,1.23258399963,
2,2202,Unknown,352,0.587214946747,
2,2210,None,352,1.20110988617,
2,2234,Unknown,352,1.47238898277,
2,2275,Aquaman,352,1.30710101128,
1,1889,None,352,0.971657037735,
2,2329,Unknown,352,1.57124590874,
2,2362,None,352,1.17864608765,
2,2388,None,352,1.21879601479,
2,2392,None,352,0.440778970718,
1,1962,None,352,1.04862093925,
2,2414,None,352,1.13427090645,
2,2440,Unknown,352,1.06655192375,
2,2452,Unknown,352,1.38644599915,
2,2488,Aquaman,352,1.44264507294,
1,2034,None,352,1.94191408157,
2,2542,None,352,0.679404973984,
2,2556,None,352,0.286154031754,
2,2594,None,352,0.492360115051,
2,2596,None,352,1.09208011627,
2,2606,None,352,1.1928050518,
1,2163,None,352,1.30360889435,
1,2211,None,352,1.30226397514,
1,2222,None,352,0.464027881622,
1,2225,None,352,0.94864988327,
1,2243,None,352,1.15656805038,
1,2254,None,352,0.726973056793,
2,2824,None,352,0.524234056473,
1,2304,None,352,1.12099194527,
2,2834,None,352,0.602488040924,
1,2320,None,352,1.1962211132,
1,2324,None,352,0.804883003235,
1,2340,None,352,0.614861011505,
2,2892,None,352,1.31871199608,
1,2366,None,352,1.14949703217,
1,2395,None,352,1.2872159481,
1,2397,None,352,0.948870897293,
1,2403,None,352,1.55222702026,
1,2428,None,352,0.886684894562,
2,2998,None,352,1.03994011879,
1,2451,None,352,1.17910790443,
2,3040,None,352,0.850720882416,
1,2486,None,352,0.94766998291,
1,2504,None,352,1.57619810104,
1,2511,None,352,1.15692305565,
2,3095,None,352,1.26071095467,
1,2533,None,352,1.07911205292,
2,3127,Unknown,352,0.679311037064,
2,3148,None,352,1.28005290031,
1,2577,None,352,1.37980389595,
1,2619,None,352,0.857968091965,
2,3255,None,352,0.862828016281,
2,3308,None,352,0.903568029404,
2,3335,None,352,1.03984594345,
2,3342,None,352,1.13903093338,
2,3345,None,352,1.72790789604,
2,3358,None,352,0.632405996323,
2,3384,None,352,0.904548883438,
2,3391,None,352,0.526918888092,
1,2784,None,352,0.87923002243,
1,2819,None,352,1.11976099014,
1,2840,None,352,0.495553016663,
1,2843,None,352,0.992376089096,
2,3492,None,352,1.36439204216,
2,3535,None,352,1.17419910431,
1,2901,None,352,1.22946500778,
1,2914,None,352,0.785053014755,
2,3570,None,352,0.448966026306,
2,3577,None,352,1.39393401146,
1,2924,None,352,1.0623319149,
2,3590,None,352,0.825740098953,
2,3610,None,352,0.895668983459,
2,3615,None,352,0.494148015976,
1,2960,None,352,0.325048923492,
1,2964,None,352,1.93728804588,
2,3646,None,352,1.13729190826,
2,3660,None,352,0.67381811142,
1,3036,None,352,1.24600696564,
1,3041,None,352,0.853177070618,
1,3060,None,352,0.526403903961,
2,3781,None,352,0.528881072998,
2,3813,None,352,1.05686998367,
1,3157,None,352,1.17183494568,
2,3869,None,352,0.453419923782,
2,3883,None,352,0.985675096512,
2,3896,None,352,0.586474895477,
2,3911,None,352,1.10849094391,
1,3197,None,352,0.544126033783,
1,3248,None,352,0.856409072876,
2,3982,None,352,1.54159188271,
1,3299,None,352,1.17108201981,
2,4068,None,352,1.27717208862,
2,4076,None,352,0.887152910233,
2,4078,None,352,1.29222297668,
2,4131,None,352,1.03953409195,
2,4141,None,352,1.1223449707,
1,3415,None,352,1.17040300369,
2,4188,Aquaman,352,0.763844966888,
2,4211,Unknown,352,1.07318210602,
1,3452,None,352,0.935201883316,
1,3468,None,352,1.06751489639,
1,3480,None,352,0.67772102356,
1,3485,None,352,1.29424405098,
1,3493,None,352,0.413218021393,
2,4321,Unknown,352,0.641168117523,
2,4364,Unknown,352,1.58553195,
2,4367,Unknown,352,0.867443084717,
1,3585,None,352,0.746565103531,
1,3606,None,352,0.451894044876,
2,4480,None,352,0.714435100555,
1,3662,None,352,1.25935792923,
1,3663,None,352,1.86690497398,
1,3700,None,352,0.936500072479,
2,4524,Unknown,352,1.13037109375,
1,3745,None,352,0.750292062759,
2,4596,None,352,1.02259802818,
2,4603,None,352,1.12291502953,
2,4621,None,352,0.899672031403,
1,3826,None,352,0.933830976486,
2,4694,None,352,1.03808188438,
2,4762,None,352,0.781317949295,
1,3912,None,352,1.68120908737,
2,4815,None,352,0.814445018768,
2,4875,None,352,0.966532945633,
2,4895,None,352,1.02368593216,
1,4010,None,352,1.10106706619,
1,4021,None,352,0.571777105331,
2,4936,None,352,1.19318509102,
1,4050,None,352,0.519449949265,
1,4051,None,352,0.730112075806,
1,4058,None,352,0.832427024841,
2,4989,None,352,0.747395038605,
1,4078,None,352,0.463753938675,
1,4082,None,352,1.29270410538,
2,5006,None,352,0.573875904083,
2,5014,None,352,0.324636936188,
1,4102,None,352,0.752425909042,
2,5125,None,352,1.29955792427,
2,5130,None,352,0.784200906754,
2,5146,None,352,0.570833921432,
1,4201,None,352,1.23782110214,
1,4216,None,352,0.850523948669,
1,4252,None,352,0.477088928223,
2,5209,None,352,0.847831964493,
1,4284,None,352,1.22866606712,
1,4286,None,352,1.3443479538,
1,4287,None,352,0.952528953552,
2,5250,None,352,1.56202507019,
1,4300,None,352,0.29275894165,
2,5271,None,352,0.888833999634,
1,4316,None,352,0.618908882141,
2,5289,None,352,1.1141409874,
2,5318,None,352,1.13996005058,
1,4412,None,352,0.707900047302,
2,5432,None,352,1.42121505737,
1,4452,None,352,0.36012506485,
2,5478,None,352,0.985255002975,
1,4477,None,352,1.08920097351,
2,5507,None,352,1.28440499306,
1,4522,None,352,0.574610948563,
1,4547,None,352,1.02111005783,
2,5582,None,352,0.76357293129,
2,5618,None,352,1.23817491531,
1,4615,None,352,0.856184005737,
1,4636,None,352,0.968822956085,
1,4646,None,352,1.19563698769,
2,5701,None,352,1.78327298164,
2,5766,None,352,0.527630090714,
1,4730,None,352,0.683754920959,
1,4778,None,352,0.582463979721,
2,5907,None,352,0.71568107605,
2,5921,None,352,0.359788894653,
1,4829,None,352,0.938910007477,
2,5989,None,352,1.07766103745,
2,6001,None,352,0.695116043091,
2,6007,None,352,1.01583003998,
2,6055,None,352,0.733150959015,
1,4951,None,352,1.06194996834,
1,5008,None,352,0.878638029099,
2,6180,None,352,0.988609075546,
1,5047,None,352,1.31385707855,
2,6193,None,352,0.988111972809,
2,6241,None,352,1.00646710396,
1,5096,None,352,1.10875797272,
1,5109,None,352,0.884924888611,
2,6298,None,352,0.438707113266,
1,5148,None,352,0.398323059082,
2,6319,None,352,0.812273979187,
2,6339,None,352,1.1440410614,
2,6368,None,352,0.53377199173,
2,6406,None,352,0.803270101547,
2,6421,None,352,0.516000986099,
2,6481,None,352,0.595051050186,
1,5287,None,352,1.19880890846,
2,6511,None,352,0.662005901337,
1,5314,None,352,0.723313093185,
2,6553,None,352,0.796905994415,
1,5346,None,352,1.72827506065,
1,5383,None,352,1.17396593094,
2,6613,Unknown,352,1.51329398155,
1,5403,None,352,1.12343597412,
2,6635,None,352,0.723236083984,
2,6731,None,352,0.890280008316,
1,5491,None,352,1.24842691422,
1,5502,None,352,1.04750704765,
1,5520,None,352,0.732023954391,
2,6774,None,352,1.28281807899,
1,5556,None,352,0.683762073517,
2,6821,None,352,1.27799010277,
2,6846,None,352,0.595175981522,
1,5589,None,352,0.426311969757,
2,6874,None,352,1.03892588615,
1,5615,None,352,1.14918708801,
2,6924,None,352,1.25773906708,
2,6937,None,352,1.34352898598,
1,5654,None,352,0.722536087036,
2,6947,None,352,0.89036488533,
1,5714,None,352,0.822896957397,
2,7021,None,352,1.42118692398,
1,5726,None,352,0.61939406395,
2,7035,None,352,0.72141289711,
2,7053,None,352,0.742472887039,
2,7101,None,352,0.39604306221,
2,7150,None,352,1.24673700333,
2,7184,None,352,0.961708068848,
1,5856,None,352,0.558897018433,
1,5870,None,352,0.490410089493,
2,7215,None,352,1.1830329895,
2,7217,None,352,0.70530295372,
2,7220,None,352,0.815778970718,
1,5879,None,352,1.17768502235,
2,7239,None,352,1.28785705566,
2,7248,None,352,0.953023910522,
2,7300,Aquaman,352,1.07383489609,
2,7311,Aquaman,352,1.34731698036,
2,7333,Aquaman,352,1.49644494057,
2,7336,Aquaman,352,1.45674109459,
2,7346,Aquaman,352,0.936758995056,
2,7416,None,352,0.937731981277,
2,7417,None,352,1.19536495209,
1,6049,None,352,1.53906702995,
1,6050,None,352,1.13336491585,
2,7452,None,352,1.22533011436,
1,6093,None,352,0.429109096527,
1,6124,None,352,0.704312086105,
2,7520,None,352,1.36576509476,
1,6133,None,352,0.960658073425,
2,7531,None,352,1.62898898125,
2,7570,None,352,0.738348007202,
2,7575,None,352,1.3373529911,
