camera,frame,prediction,consumers,latency
2,517,None,352,3.76023888588,
2,71,None,352,51.0391170979,
2,365,None,352,23.0527150631,
1,221,None,352,27.3965740204,
2,445,None,352,12.4891560078,
2,3632,None,352,109.67681694,
2,3636,None,352,108.699050903,
2,79,None,352,51.963737011,
2,3624,None,352,110.108984947,
2,53,None,352,54.1595759392,
1,2733,None,352,110.472836971,
1,157,None,352,37.5327010155,
1,276,None,352,20.8377299309,
2,65,None,352,54.0528149605,
2,178,None,352,43.1225159168,
1,69,None,352,50.4262421131,
1,216,None,352,30.4425001144,
2,490,None,352,9.64405608177,
2,385,None,352,23.738642931,
1,133,None,352,43.8940880299,
2,282,None,352,35.9650700092,
2,514,None,352,9.15591597557,
1,322,None,352,18.2625060081,
1,339,None,352,15.2733240128,
2,480,None,352,13.5077440739,
1,362,None,352,12.5726029873,
2,489,None,352,12.7677679062,
1,427,None,352,3.37414693832,
2,619,None,352,1.33946704865,
1,560,None,352,0.529247999191,
1,563,None,352,0.940607070923,
2,756,None,352,1.08371210098,
2,761,None,352,0.693550109863,
2,821,None,352,0.82263302803,
2,838,None,352,0.93555188179,
2,848,None,352,1.07662296295,
1,684,None,352,0.822818994522,
2,893,None,352,0.966958045959,
1,703,None,352,0.506902933121,
2,927,None,352,1.12367892265,
1,737,None,352,0.317416906357,
1,750,None,352,1.42772006989,
1,816,None,352,0.291141033173,
2,1078,None,352,1.01565003395,
2,1093,None,352,1.1130490303,
1,875,None,352,0.357880115509,
2,1109,None,352,0.583791017532,
1,879,None,352,1.18726801872,
1,937,None,352,0.774599075317,
1,1036,None,352,1.44145607948,
1,1060,None,352,0.587856054306,
2,1340,None,352,0.698666095734,
2,1345,None,352,1.09483289719,
2,1379,None,352,1.08167409897,
2,1383,None,352,0.675029993057,
1,1125,None,352,0.687423944473,
2,1414,None,352,1.28652000427,
1,1162,None,352,0.912894964218,
2,1468,None,352,1.21001696587,
2,1502,None,352,1.06915211678,
2,1554,None,352,1.20785307884,
1,1250,None,352,1.80187606812,
2,1622,None,352,0.945004940033,
1,1316,None,352,1.25294589996,
2,1655,None,352,0.602968931198,
2,1746,None,352,1.25064206123,
1,1423,None,352,1.36806201935,
1,1453,None,352,1.11515188217,
2,1809,None,352,1.24238204956,
2,1826,None,352,1.09493207932,
1,1534,None,352,1.19699692726,
1,1535,None,352,0.81432390213,
2,1902,None,352,1.4128510952,
2,1926,None,352,0.5226790905,
1,1592,None,352,1.19127607346,
2,2006,None,352,0.810693979263,
2,2018,None,352,0.929332971573,
1,1654,None,352,1.04429888725,
2,2098,None,352,0.925911903381,
2,2123,None,352,1.05291700363,
1,1773,None,352,1.19124507904,
1,1790,None,352,0.388998031616,
1,1794,None,352,0.990070104599,
1,1805,None,352,0.601171970367,
1,1819,None,352,0.702816009521,
2,2290,None,352,0.838743925095,
2,2325,Unknown,352,0.995414018631,
2,2337,None,352,1.03693795204,
1,1912,None,352,1.17993307114,
1,1944,None,352,0.517055034637,
1,1978,None,352,0.282723903656,
1,1992,None,352,0.417824983597,
2,2458,Unknown,352,0.944535970688,
1,2008,None,352,0.791384935379,
1,2023,None,352,0.726438045502,
2,2511,None,352,0.858489990234,
2,2518,None,352,0.674607992172,
1,2114,None,352,1.32238698006,
2,2616,None,352,0.868390083313,
1,2144,None,352,0.351794958115,
2,2697,None,352,0.873047113419,
2,2724,None,352,0.919501066208,
1,2242,None,352,1.09802794456,
1,2251,None,352,0.382405042648,
2,2795,None,352,1.48963689804,
1,2301,None,352,0.376851081848,
1,2313,None,352,1.02449297905,
1,2346,None,352,0.640366077423,
2,2890,None,352,0.795383930206,
1,2367,None,352,1.31576609612,
1,2368,None,352,0.999934911728,
2,2929,None,352,0.611845970154,
2,2982,None,352,0.290121078491,
1,2432,None,352,0.472305059433,
2,2999,None,352,1.13548207283,
1,2455,None,352,0.731816053391,
2,3045,None,352,0.365629911423,
2,3079,None,352,1.492374897,
1,2542,None,352,1.61061501503,
2,3120,None,352,1.28425502777,
2,3133,Unknown,352,1.38464403152,
