camera,frame,prediction,consumers,latency
2,14,None,352,56.7612700462,
1,87,None,352,45.9254989624,
2,215,None,352,37.2435529232,
1,54,None,352,50.412375927,
2,96,None,352,49.4614970684,
2,17,None,352,57.7795329094,
2,87,None,352,50.8623309135,
2,16,None,352,58.0811400414,
1,26,None,352,54.1395618916,
2,159,None,352,44.4407100677,
2,470,None,352,10.5006899834,
1,2678,None,352,118.771378994,
1,2678,None,352,118.943847895,
1,91,None,352,47.1960809231,
2,407,None,352,19.2556018829,
2,237,None,352,37.5494220257,
2,266,None,352,34.6011450291,
2,55,None,352,55.8113749027,
2,155,None,352,45.8589699268,
2,530,None,352,5.06921505928,
2,166,None,352,45.2452991009,
2,181,None,352,43.2581551075,
1,307,None,352,18.574311018,
2,473,None,352,12.63164711,
1,406,None,352,4.90550589561,
2,174,None,352,45.0274550915,
2,184,None,352,44.0403699875,
2,311,None,352,32.9084858894,
2,382,None,352,26.5060939789,
2,297,None,352,34.7645099163,
1,232,None,352,31.774023056,
2,539,None,352,6.96816706657,
2,542,None,352,7.00307798386,
2,510,None,352,11.1568520069,
2,548,None,352,6.25417900085,
1,464,None,352,1.50935506821,
1,468,None,352,1.02307605743,
1,503,None,352,0.61498093605,
1,524,None,352,0.668515920639,
1,538,None,352,0.344708919525,
1,572,None,352,1.17142391205,
1,579,None,352,1.09495210648,
2,759,None,352,0.403456926346,
2,786,None,352,1.02300310135,
2,811,None,352,0.558346986771,
1,646,None,352,0.539350986481,
2,836,None,352,1.29388809204,
1,682,None,352,0.921529054642,
1,708,None,352,1.54332900047,
2,907,None,352,1.21895289421,
1,735,None,352,0.979335069656,
1,749,None,352,1.06435704231,
1,786,None,352,1.17725992203,
2,1024,None,352,0.998594045639,
2,1064,None,352,0.819197893143,
2,1080,None,352,1.25165009499,
2,1085,None,352,1.20933294296,
2,1088,None,352,1.52253389359,
1,859,None,352,1.12151789665,
1,877,None,352,0.665944099426,
1,911,None,352,1.30827093124,
2,1179,None,352,0.774511098862,
1,954,None,352,1.3886051178,
2,1204,None,352,0.980403900146,
1,979,None,352,0.595031023026,
1,1002,None,352,0.706180095673,
2,1271,None,352,0.816489934921,
2,1279,None,352,0.54891705513,
1,1029,None,352,1.20214390755,
2,1309,None,352,1.31041789055,
1,1065,None,352,1.31886196136,
1,1075,None,352,0.937741994858,
1,1104,None,352,0.561403036118,
2,1390,None,352,0.662545919418,
2,1413,None,352,1.27220606804,
2,1426,None,352,0.375296115875,
2,1428,None,352,0.721012115479,
1,1151,None,352,1.250248909,
2,1437,None,352,0.843372106552,
2,1446,None,352,0.577394962311,
1,1169,None,352,0.649730920792,
1,1194,None,352,1.13920903206,
2,1487,None,352,0.725261926651,
2,1492,None,352,1.32262802124,
1,1206,None,352,0.883960962296,
1,1200,None,352,2.00010609627,
2,1505,None,352,0.59147310257,
2,1517,None,352,0.68039894104,
2,1616,None,352,1.24582004547,
2,1620,None,352,0.834219932556,
1,1341,None,352,0.958045959473,
1,1348,None,352,0.621563911438,
2,1700,None,352,0.793874025345,
2,1720,None,352,1.40868210793,
2,1732,None,352,0.508354902267,
2,1751,None,352,0.729762077332,
2,1760,None,352,0.69213104248,
2,1776,None,352,0.832252025604,
1,1444,None,352,0.93354511261,
2,1791,None,352,1.53594589233,
