camera,frame,prediction,consumers,latency
1,129,None,50,23.7263989449,
2,218,None,50,19.7572340965,
2,112,None,50,31.0818920135,
2,162,None,50,26.1184310913,
1,19,None,50,38.3803179264,
1,40,None,50,35.4347660542,
2,40,None,50,38.6429319382,
2,47,None,50,37.6789879799,
2,81,None,50,34.8947470188,
2,82,None,50,33.9293830395,
2,249,None,50,18.1585230827,
2,254,None,50,17.2073919773,
2,76,None,50,35.360763073,
2,119,None,50,31.4025220871,
2,90,None,50,34.5884990692,
2,149,None,50,28.639111042,
2,96,None,50,33.8012731075,
2,117,None,50,31.8502089977,
1,116,None,50,27.0380818844,
2,173,None,50,27.0766069889,
2,264,None,50,17.3806018829,
1,212,None,50,14.4313220978,
1,89,None,50,31.5916509628,
2,178,None,50,26.6268639565,
2,151,None,50,29.905673027,
2,168,None,50,27.9561719894,
1,82,None,50,33.1077969074,
2,158,None,50,29.1503720284,
1,151,None,50,24.3751630783,
1,163,None,50,22.4342830181,
1,229,None,50,11.6243169308,
2,330,None,50,9.67542290688,
1,146,None,50,24.9195261002,
2,233,None,50,22.9573249817,
1,130,None,50,27.1302900314,
1,148,None,50,25.1707100868,
2,172,None,50,29.3743510246,
1,144,None,50,26.4203410149,
2,247,None,50,21.5689098835,
1,188,None,50,19.6290969849,
1,257,None,50,8.87439799309,
1,266,None,50,6.94015908241,
1,173,None,50,23.1139431,
2,259,None,50,21.1666429043,
1,164,None,50,24.3115921021,
2,262,None,50,20.3442640305,
2,205,None,50,26.4925689697,
2,265,None,50,20.5284121037,
2,288,None,50,17.6841819286,
1,274,None,50,6.69645905495,
2,386,None,50,6.03421998024,
1,300,None,50,3.07551503181,
1,220,None,50,16.3526170254,
1,270,None,50,8.36369991302,
1,291,None,50,4.55401206017,
1,303,None,50,2.68382000923,
1,280,None,50,6.78900194168,
2,397,None,50,5.82510900497,
1,213,None,50,18.9730160236,
1,243,None,50,12.9839301109,
1,194,None,50,22.1532769203,
2,291,None,50,19.1895349026,
1,316,None,50,1.34984207153,
2,410,None,50,4.44415092468,
2,404,None,50,5.56915402412,
1,311,None,50,2.62415909767,
2,297,None,50,18.8595108986,
2,305,None,50,17.876240015,
1,320,None,50,2.06613111496,
2,441,None,50,1.16489696503,
1,232,None,50,16.2718060017,
2,323,None,50,15.2824718952,
1,323,None,50,1.48545503616,
2,336,None,50,14.587677002,
2,367,None,50,10.5984020233,
1,327,None,50,0.80272603035,
1,275,None,50,9.943805933,
1,295,None,50,6.98082208633,
2,449,None,50,1.13734698296,
2,428,None,50,4.28471493721,
2,445,None,50,2.32937288284,
1,328,None,50,1.51384806633,
1,335,None,50,0.87758398056,
2,461,None,50,0.985367059708,
1,338,None,50,1.40202999115,
2,464,None,50,2.00136303902,
2,468,None,50,1.1022439003,
1,344,None,50,1.69832992554,
2,489,None,50,1.0485470295,
2,492,None,50,0.545222043991,
2,494,None,50,0.734606981277,
2,500,None,50,1.31713700294,
2,501,None,50,0.448113918304,
1,365,None,50,0.700917005539,
2,509,None,50,0.616286039352,
1,373,None,50,0.908854961395,
2,521,None,50,0.979053020477,
2,538,None,50,0.884254932404,
2,554,None,50,0.682699918747,
1,420,None,50,1.14349603653,
2,578,None,50,0.522170066833,
2,580,None,50,0.892472028732,
1,423,None,50,1.5132420063,
2,592,None,50,1.12767004967,
2,596,None,50,0.505615949631,
2,597,None,50,0.829909086227,
2,605,None,50,0.567224025726,
2,607,None,50,1.04749393463,
1,447,None,50,1.31339788437,
2,610,None,50,1.94034600258,
2,613,None,50,1.04126691818,
2,621,None,50,1.65152597427,
2,622,None,50,1.26631689072,
2,629,Unknown,50,0.834991931915,
2,634,Unknown,50,1.38456702232,
1,469,None,50,0.784019947052,
1,472,None,50,1.22483706474,
2,644,Unknown,50,1.36181092262,
1,474,None,50,0.75750207901,
1,487,None,50,0.66014790535,
1,493,None,50,0.663378000259,
1,494,None,50,0.858292102814,
2,681,None,50,1.30813503265,
2,683,None,50,0.527549028397,
1,500,None,50,0.832278966904,
1,505,None,50,0.438112020493,
2,697,None,50,1.02834105492,
1,509,None,50,1.17866802216,
2,698,None,50,1.27852296829,
1,510,None,50,1.38731098175,
1,513,None,50,0.585656881332,
1,514,None,50,0.832669973373,
1,520,None,50,0.638402938843,
2,725,None,50,1.13246703148,
1,532,None,50,0.711108922958,
2,737,None,50,0.494599103928,
2,738,None,50,0.717678070068,
1,540,None,50,0.818846940994,
2,745,None,50,0.482929944992,
2,748,No
