camera,frame,prediction,consumers,latency
1,95,None,352,45.7133889198,
1,154,None,352,35.8127698898,
2,372,None,352,18.3483960629,
1,300,None,352,13.4932980537,
1,108,None,352,44.7569599152,
1,328,None,352,8.83287811279,
1,25,None,352,57.9338049889,
2,192,None,352,41.9957768917,
2,238,None,352,36.2894260883,
1,242,None,352,24.3268930912,
2,482,None,352,7.6096060276,
2,513,None,352,4.18988394737,
2,275,None,352,33.3401300907,
2,310,None,352,29.4038200378,
2,247,None,352,36.5979239941,
1,214,None,352,30.6333670616,
2,437,None,352,13.8794140816,
2,507,None,352,5.9220020771,
2,390,None,352,20.101610899,
1,288,None,352,19.6567230225,
1,294,None,352,18.8128790855,
2,550,None,352,1.25797510147,
2,593,None,352,0.301177978516,
1,508,None,352,0.947843074799,
1,614,None,352,1.16891598701,
1,623,None,352,0.759782075882,
2,920,None,352,0.69163107872,
2,932,None,352,0.693099021912,
2,1003,None,352,1.32193398476,
1,799,None,352,0.830883026123,
2,1177,None,352,1.52672696114,
1,981,None,352,0.70045208931,
2,1363,None,352,1.48776388168,
1,1027,None,352,1.31483697891,
2,1489,None,352,0.456371068954,
1,1112,None,352,1.04157209396,
1,1154,None,352,0.896442890167,
2,1571,None,352,0.994360923767,
2,1577,None,352,0.599545955658,
1,1205,None,352,0.722369909286,
2,1669,None,352,1.35563802719,
1,1284,None,352,0.471465110779,
1,1304,None,352,0.571027994156,
2,1769,None,352,0.675452947617,
1,1349,None,352,0.449024915695,
1,1350,None,352,1.13419699669,
1,1365,None,352,0.725343942642,
1,1366,None,352,0.924377918243,
1,1389,None,352,1.29779100418,
1,1437,None,352,0.444201946259,
1,1440,None,352,1.28817391396,
2,2008,None,352,0.931921005249,
2,2010,None,352,1.26740694046,
1,1527,None,352,1.21894192696,
2,2064,None,352,0.32902097702,
1,1555,None,352,1.2694311142,
2,2102,None,352,0.986262083054,
2,2142,None,352,0.459187984467,
2,2199,Unknown,352,1.30727601051,
1,1657,None,352,0.627676963806,
2,2223,Unknown,352,1.26794195175,
2,2231,Unknown,352,1.22553396225,
1,1689,None,352,1.54229211807,
2,2279,Aquaman,352,0.967246055603,
2,2318,Unknown,352,0.810856103897,
1,1758,None,352,0.903601884842,
2,2327,Unknown,352,1.51841688156,
2,2351,None,352,1.25297689438,
2,2383,None,352,0.879523038864,
2,2394,None,352,1.35496711731,
1,1816,None,352,1.54022192955,
1,1890,None,352,0.750901937485,
1,1893,None,352,1.35791397095,
1,1951,None,352,1.03677201271,
1,1971,None,352,1.76095294952,
1,2060,None,352,0.627356052399,
2,2746,None,352,0.753922939301,
2,2829,None,352,0.38942193985,
2,2932,None,352,1.5293610096,
1,2236,None,352,0.829617023468,
1,2286,None,352,1.24085211754,
1,2305,None,352,1.55346608162,
2,3080,None,352,0.820019006729,
1,2325,None,352,1.07336306572,
2,3131,Unknown,352,0.807794094086,
1,2413,None,352,1.31279611588,
1,2447,None,352,0.436830997467,
2,3350,None,352,0.575484037399,
1,2571,None,352,1.24032497406,
1,2575,None,352,0.828761100769,
2,3434,None,352,1.43843793869,
1,2603,None,352,0.942326068878,
1,2618,None,352,1.55046510696,
1,2726,None,352,1.26297092438,
1,2774,None,352,1.08017396927,
2,3688,None,352,1.1885240078,
2,3699,None,352,1.17878103256,
1,2803,None,352,0.845632076263,
2,3748,None,352,0.528086900711,
2,3770,None,352,1.13769507408,
1,2895,None,352,0.75804400444,
1,2930,None,352,0.638776063919,
2,3900,None,352,0.684948921204,
2,3975,None,352,0.815614938736,
2,4066,None,352,0.950596094131,
1,3081,None,352,1.11569905281,
1,3088,None,352,1.15614104271,
1,3118,None,352,0.76470208168,
2,4137,None,352,1.35096311569,
2,4174,Aquaman,352,0.642853975296,
1,3174,None,352,1.25291490555,
2,4253,Aquaman,352,0.660993099213,
2,4279,Unknown,352,0.760071992874,
2,4299,Unknown,352,1.01238799095,
1,3258,None,352,0.597129106522,
1,3303,None,352,1.21105289459,
2,4465,None,352,1.34733009338,
2,4500,None,352,0.995661020279,
2,4530,Unknown,352,0.640506982803,
1,3443,None,352,0.761243104935,
1,3445,None,352,1.34926509857,
2,4562,Unknown,352,0.867388963699,
2,4569,None,352,1.54010009766,
1,3508,None,352,0.660895109177,
1,3518,None,352,1.25847601891,
1,3526,None,352,0.876945972443,
2,4660,None,352,0.484302997589,
1,3539,None,352,0.371407985687,
1,3544,None,352,1.51275396347,
2
