camera,frame,prediction,consumers,latency
2,331,None,352,25.7620429993,
2,496,None,352,5.87364602089,
2,3531,None,352,119.07572794,
1,2701,None,352,113.127234936,
2,270,None,352,32.5212850571,
2,497,None,352,6.56578993797,
2,3553,None,352,117.876676083,
2,3553,None,352,117.952385902,
1,2736,None,352,110.18234396,
2,359,None,352,24.2382280827,
1,21,None,352,55.5009810925,
2,95,None,352,50.5451030731,
2,3586,None,352,114.831331015,
2,191,None,352,40.8894279003,
1,2664,None,352,121.186892986,
1,134,None,352,41.2411470413,
2,415,None,352,18.5069520473,
2,486,None,352,9.55129790306,
1,85,None,352,48.7103130817,
1,343,None,352,12.7452819347,
1,296,None,352,19.0010640621,
2,294,None,352,32.1665558815,
2,313,None,352,31.2288789749,
1,64,None,352,52.488945961,
1,149,None,352,40.5521109104,
2,501,None,352,9.84585189819,
1,141,None,352,41.953676939,
2,228,None,352,39.9929339886,
2,512,None,352,8.90229105949,
1,387,None,352,9.18877410889,
1,399,None,352,7.2426469326,
2,392,None,352,25.4176900387,
2,506,None,352,10.4892010689,
2,578,None,352,1.77188205719,
2,564,None,352,3.87846207619,
2,591,None,352,0.932250022888,
2,596,None,352,0.562670946121,
1,494,None,352,0.297962903976,
2,672,None,352,1.29797410965,
2,725,None,352,0.505806922913,
1,566,None,352,0.735053062439,
2,737,None,352,1.33284306526,
2,750,None,352,0.620074987411,
1,640,None,352,0.879889965057,
1,663,None,352,0.709258079529,
2,849,None,352,1.37509393692,
2,861,None,352,1.4750161171,
1,681,None,352,0.581511974335,
2,871,None,352,1.19815301895,
1,687,None,352,0.38377904892,
1,699,None,352,0.93544793129,
2,925,None,352,0.673100948334,
1,748,None,352,1.27957606316,
2,961,None,352,0.787442922592,
2,981,None,352,0.938548088074,
2,1011,None,352,0.5571808815,
2,1017,None,352,1.18873310089,
1,806,None,352,1.29742407799,
2,1035,None,352,1.08482003212,
2,1041,None,352,0.724277019501,
1,820,None,352,1.31633710861,
2,1054,None,352,0.443351984024,
2,1058,None,352,1.04202198982,
2,1069,None,352,1.81038999557,
1,854,None,352,0.65759396553,
1,874,None,352,1.24642801285,
2,1151,None,352,1.36959195137,
2,1188,None,352,0.994882106781,
2,1240,None,352,1.17234992981,
1,999,None,352,1.36875605583,
1,1005,None,352,0.968049049377,
2,1265,None,352,1.06559109688,
1,1016,None,352,0.525928020477,
1,1079,None,352,1.17324590683,
2,1346,None,352,1.57981705666,
2,1359,None,352,1.19848299026,
2,1373,None,352,0.354157924652,
2,1430,None,352,0.754209041595,
1,1184,None,352,0.649156093597,
1,1226,None,352,0.995265960693,
1,1305,None,352,1.01733708382,
2,1641,None,352,1.12196803093,
2,1686,None,352,1.26687192917,
1,1360,None,352,1.39424705505,
1,1362,None,352,0.980351924896,
2,1748,None,352,0.342442035675,
2,1786,None,352,0.916620969772,
2,1788,None,352,1.02672505379,
2,1796,None,352,1.65363693237,
1,1461,None,352,1.12153601646,
2,1831,None,352,0.770976066589,
1,1492,None,352,0.498496055603,
2,1858,None,352,0.898416042328,
1,1528,None,352,0.371449947357,
2,1904,None,352,1.4878590107,
1,1566,None,352,0.711621999741,
2,1938,None,352,1.02236509323,
2,1948,None,352,1.34276008606,
1,1588,None,352,0.710376024246,
1,1627,None,352,0.903688907623,
2,2030,None,352,1.32209205627,
2,2054,None,352,1.4344830513,
1,1677,None,352,0.904830932617,
2,2082,None,352,1.12707996368,
1,1695,None,352,0.726397037506,
1,1748,None,352,0.678631067276,
2,2181,None,352,0.854937076569,
1,1789,None,352,1.64013504982,
2,2208,Unknown,352,1.24866700172,
2,2213,None,352,0.720863103867,
1,1799,None,352,0.893452882767,
2,2215,None,352,1.55466198921,
2,2233,Unknown,352,1.54333209991,
2,2244,Unknown,352,0.676830053329,
1,1848,None,352,0.497199058533,
2,2283,None,352,1.10121011734,
1,1868,None,352,1.19950509071,
2,2311,Unknown,352,1.31667304039,
2,2316,Unknown,352,1.10196208954,
2,2324,Unknown,352,0.884159088135,
1,1929,None,352,0.789053916931,
2,2381,None,352,1.40173101425,
2,2396,None,352,1.12511396408,
2,2398,None,352,1.71291899681,
1,1977,None,352,1.3148150444,
2,2449,Unknown,352,1.4338619709,
1,2017,None,352,1.23864388466,
1,2027,None,352,1.34062409401,
2,2515,None,352,0.355257987976,
2,2523,None,352,0.304826021194,
1,2062,None,352,1.02294993401,
1,2084,None,352,1.07572698593,
1,2122,None,352,1.2674510479,
1,2123,None,352,0.446847915649,
1,2140,None,352,0.761187076569,
2,2630,None,352,0.765607118607,
2,2701,None,352,0.5130610466,
2,2711,None,352,0.500148057938,
1,2227,None,352,1.00146102905,
1,2233,None,352,0.845542907715,
2,2756,None,352,0.730269908905,
1,2262,None,352,0.848593950272,
1,2272,None,352,0.368452072144,
1,2300,None,352,1.49545502663,
1,2310,None,352,0.751650094986,
2,2877,None,352,1.53088903427,
2,2897,None,352,0.860157966614,
2,2906,None,352,1.06220889091,
2,2926,None,352,1.23160791397,
1,2388,None,352,1.82734394073,
2,3005,None,352,1.22760796547,
1,2459,None,352,1.33229899406,
1,2472,None,352,0.733131885529,
2,3073,None,352,0.476651906967,
1,2515,None,352,0.676563978195,
2,3091,None,352,0.663610935211,
2,3132,Unknown,352,1.3847899437,
1,2573,None,352,0.536175012589,
2,3179,None,352,0.671816110611,
2,3216,None,352,0.782965898514,
2,3248,None,352,1.08004903793,
1,2656,None,352,0.751204013824,
1,2657,None,352,1.4900970459,
1,2664,None,352,1.09837293625,
2,3313,None,352,0.517149925232,
1,2701,None,352,1.1264629364,
1,2736,None,352,0.749085903168,
1,2762,None,352,0.864629983902,
1,2800,None,352,1.53734898567,
1,2816,None,352,0.503495931625,
1,2824,None,352,0.600635051727,
2,3474,None,352,1.37365603447,
2,3491,None,352,1.04582095146,
1,2871,None,352,1.16459703445,
2,3531,None,352,0.772464036942,
2,3553,None,352,1.19852209091,
2,3586,None,352,1.21743297577,
1,2933,None,352,0.818983078003,
2,3677,None,352,0.642903089523,
2,3681,None,352,1.14486598969,
1,3017,None,352,0.652641057968,
1,3084,None,352,0.87758898735,
1,3102,None,352,1.19921898842,
2,3801,None,352,0.784805059433,
2,3833,None,352,0.561811923981,
1,3152,None,352,0.327228069305,
1,3158,None,352,1.54302191734,
2,3908,None,352,0.943682909012,
2,3909,None,352,1.60181498528,
1,3206,None,352,0.776335954666,
2,3929,None,352,1.01303696632,
1,3222,None,352,0.918059110641,
1,3240,None,352,0.538827896118,
1,3242,None,352,0.784452915192,
2,4048,None,352,0.504770994186,
2,4082,None,352,0.510008096695,
1,3347,None,352,0.755975008011,
2,4169,Aquaman,352,1.54606103897,
1,3413,None,352,1.15237498283,
2,4195,Aquaman,352,1.3355410099,
1,3431,None,352,1.43745708466,
1,3478,None,352,0.571553945541,
1,3502,None,352,0.976186037064,
2,4307,Unknown,352,1.1625430584,
1,3530,None,352,0.457206964493,
2,4333,Aquaman,352,1.13406395912,
2,4343,Aquaman,352,1.24810504913,
2,4354,Aquaman,352,1.3996629715,
1,3574,None,352,1.14780807495,
1,3587,None,352,1.24211788177,
2,4401,None,352,0.523192882538,
2,4487,None,352,0.673861026764,
1,3672,None,352,0.771320104599,
2,4586,None,352,0.890827894211,
1,3787,None,352,1.40277099609,
2,4668,None,352,1.08779001236,
2,4680,None,352,0.701205015182,
1,3827,None,352,1.29566001892,
1,3844,None,352,0.399808883667,
2,4715,None,352,0.458417892456,
2,4720,None,352,1.66901302338,
1,3873,None,352,0.771250963211,
2,4754,None,352,1.08390498161,
1,3914,None,352,0.909297943115,
1,3930,None,352,1.08535790443,
2,4822,None,352,0.691791057587,
2,4842,None,352,1.24915504456,
2,4855,None,352,0.443646907806,
1,3981,None,352,1.04567694664,
2,4893,None,352,1.22835993767,
2,4957,None,352,1.1377658844,
1,4075,None,352,1.06441998482,
2,4996,None,352,0.650367975235,
1,4081,None,352,1.27361011505,
2,5053,None,352,1.14499998093,
1,4131,None,352,0.690527915955,
2,5068,None,352,0.735819101334,
2,5086,Unknown,352,1.0869910717,
1,4159,None,352,0.80157995224,
2,5106,None,352,0.971231937408,
2,5111,None,352,0.566041946411,
1,4177,None,352,1.19955396652,
1,4196,None,352,0.910114049911,
2,5152,Aquaman,352,1.63223409653,
2,5158,Aquaman,352,1.32523202896,
1,4217,None,352,0.882519006729,
1,4220,None,352,1.49241709709,
1,4227,None,352,1.25094795227,
2,5194,None,352,1.0967900753,
