camera,frame,prediction,consumers,latency
2,31,None,50,34.9455931187,
1,74,None,50,26.9705729485,
1,30,None,50,33.2363190651,
2,69,None,50,31.2784779072,
1,0,None,50,37.4405269623,
2,15,None,50,36.4780049324,
2,16,None,50,36.6475551128,
2,38,None,50,34.702493906,
2,66,None,50,31.8887159824,
2,80,None,50,30.9286079407,
2,42,None,50,35.1825120449,
2,85,None,50,30.193146944,
1,5,None,50,37.3776099682,
2,19,None,50,37.4132189751,
2,9,None,50,38.5730540752,
2,152,None,50,24.6131339073,
1,64,None,50,29.800317049,
2,125,None,50,26.8366720676,
2,113,None,50,28.0032680035,
2,131,None,50,27.0408539772,
1,13,None,50,37.2480709553,
2,70,None,50,33.2856709957,
2,101,None,50,30.449862957,
1,112,None,50,24.4607970715,
2,20,None,50,38.732820034,
2,146,None,50,25.7589960098,
2,141,None,50,27.01343894,
2,161,None,50,25.0406370163,
1,73,None,50,30.2188251019,
1,78,None,50,29.2737360001,
2,163,None,50,25.420470953,
2,166,None,50,24.4724640846,
2,134,None,50,27.7269051075,
2,153,None,50,26.7778530121,
1,128,None,50,24.0111560822,
2,287,None,50,12.0593109131,
2,176,None,50,24.3011369705,
2,195,None,50,22.4186480045,
1,155,None,50,20.6078419685,
2,253,None,50,16.6593630314,
2,99,None,50,32.8145880699,
1,98,None,50,28.8598399162,
2,347,None,50,6.04235506058,
1,140,None,50,23.1515049934,
2,199,None,50,23.2042369843,
1,187,None,50,17.504805088,
2,270,None,50,15.6539928913,
1,114,None,50,27.8040010929,
2,235,None,50,19.8600320816,
1,142,None,50,24.019974947,
2,220,None,50,22.0366930962,
1,196,None,50,16.2492589951,
2,326,None,50,9.3065071106,
1,184,None,50,18.4739010334,
2,304,None,50,12.5217769146,
1,183,None,50,18.7169311047,
2,255,None,50,18.731306076,
1,240,None,50,8.97353100777,
2,349,None,50,7.02558207512,
1,231,None,50,11.1799890995,
2,371,None,50,5.19692206383,
1,185,None,50,19.3888630867,
2,269,None,50,17.4293520451,
2,353,None,50,7.61216402054,
1,273,None,50,5.13268899918,
2,391,None,50,3.32778310776,
1,294,None,50,2.49911499023,
1,211,None,50,16.613779068,
2,293,None,50,16.6245338917,
2,399,None,50,2.8556740284,
2,400,None,50,2.8679060936,
1,241,None,50,11.1030271053,
1,246,None,50,11.1362810135,
1,293,None,50,3.32549095154,
1,298,None,50,2.8458108902,
2,368,None,50,8.03731989861,
2,395,None,50,5.0723490715,
2,423,None,50,1.34767389297,
1,313,None,50,1.9480381012,
2,424,None,50,2.56336307526,
2,438,None,50,1.66397094727,
1,325,None,50,1.2735888958,
2,452,None,50,0.925779104233,
2,460,None,50,0.784091949463,
1,339,None,50,0.404159069061,
1,346,None,50,0.38011598587,
2,474,None,50,0.502723932266,
1,356,None,50,0.92516708374,
2,496,None,50,0.869126081467,
2,503,None,50,0.91904592514,
1,371,None,50,0.463962078094,
2,511,None,50,0.748732089996,
1,375,None,50,1.16931605339,
2,516,None,50,0.778419017792,
2,527,None,50,0.613439083099,
2,528,None,50,1.03215909004,
1,401,None,50,1.19892191887,
1,410,None,50,0.588934898376,
1,415,None,50,0.392990112305,
2,576,None,50,0.305634975433,
1,426,None,50,1.04093194008,
2,586,None,50,0.464706897736,
1,439,None,50,1.03386211395,
2,609,None,50,1.01698207855,
2,638,Unknown,50,0.776539087296,
1,481,None,50,0.587061882019,
1,484,None,50,1.10180091858,
2,688,None,50,1.10669994354,
2,689,None,50,1.30907702446,
2,691,None,50,0.906152963638,
2,690,None,50,2.49022388458,
2,694,None,50,1.50447702408,
2,707,None,50,1.07232689857,
2,712,None,50,0.653291940689,
2,718,None,50,0.339277029037,
2,719,None,50,0.551908969879,
2,771,None,50,0.539494037628,
2,783,None,50,0.821068048477,
2,786,None,50,1.16003489494,
2,788,None,50,0.53421497345,
2,789,None,50,1.17919802666,
1,579,None,50,1.85447192192,
2,804,None,50,1.45971608162,
2,818,None,50,0.78324508667,
1,600,None,50,1.21708989143,
2,828,None,50,0.898843050003,
2,831,None,50,1.43998003006,
2,840,None,50,1.24095201492,
2,842,None,50,0.636904001236,
1,625,None,50,0.896930932999,
2,873,None,50,0.924097061157,
2,875,None,50,1.17606210709,
1,642,None,50,0.684554100037,
1,644,None,50,1.28196501732,
1,656,None,50,0.692089080811,
2,897,None,50,0.989341974258,
2,912,None,50,1.26725292206,
2,921,None,50,1.26978993416,
2,929,None,50,1.21951389313,
2,934,None,50,0.765424966812,
2,936,N
