camera,frame,prediction,consumers,latency
1,351,None,352,8.76102900505,
2,488,None,352,6.90197300911,
1,2708,None,352,112.165925026,
1,112,None,352,42.2250521183,
2,3598,None,352,112.411595106,
2,170,None,352,42.472479105,
1,166,None,352,35.7679901123,
2,3617,None,352,110.91200304,
1,158,None,352,36.9566791058,
1,2681,None,352,117.112205029,
1,2681,None,352,117.185475111,
1,109,None,352,44.4300780296,
1,285,None,352,19.6160531044,
2,251,None,352,35.7377851009,
2,452,None,352,13.1239089966,
1,2713,None,352,114.337382078,
2,220,None,352,39.3495779037,
2,198,None,352,41.5563879013,
2,260,None,352,35.6004619598,
2,295,None,352,31.7800850868,
2,335,None,352,27.8162639141,
2,545,None,352,4.04054093361,
1,417,None,352,2.21243405342,
1,436,None,352,1.5583820343,
1,435,None,352,2.44508004189,
2,566,None,352,3.67527699471,
1,448,None,352,1.26105904579,
1,489,None,352,0.658248901367,
2,650,None,352,0.750152111053,
1,517,None,352,0.867796897888,
2,681,None,352,0.387157917023,
2,691,None,352,0.52656006813,
2,724,None,352,0.376977920532,
1,634,None,352,1.03444504738,
1,668,None,352,0.376576900482,
2,877,None,352,1.49242997169,
1,736,None,352,1.12629199028,
1,781,None,352,0.640733003616,
2,1009,None,352,1.14575695992,
2,1014,None,352,0.781153917313,
1,861,None,352,0.943283081055,
2,1095,None,352,1.61258506775,
2,1136,None,352,0.930335044861,
2,1172,None,352,1.06059098244,
2,1185,None,352,0.672169923782,
1,980,None,352,0.712526082993,
2,1231,None,352,0.89205288887,
2,1236,None,352,0.995645046234,
2,1320,None,352,1.68323898315,
1,1069,None,352,1.14720201492,
2,1361,None,352,1.3182079792,
2,1460,None,352,0.307470083237,
2,1461,None,352,0.898983001709,
1,1179,None,352,1.25417995453,
2,1479,None,352,0.507154941559,
2,1496,None,352,0.377100944519,
2,1497,None,352,0.572480916977,
2,1500,None,352,1.17868304253,
1,1212,None,352,1.25510311127,
1,1230,None,352,1.18271493912,
1,1269,None,352,0.683322906494,
2,1578,None,352,1.43168306351,
2,1583,None,352,0.689888000488,
1,1296,None,352,0.801145076752,
2,1612,None,352,1.54794406891,
2,1614,None,352,2.22144603729,
2,1632,None,352,1.31588697433,
1,1317,None,352,0.91012597084,
1,1368,None,352,0.322329998016,
2,1709,None,352,1.15770506859,
2,1739,None,352,1.449436903,
2,1757,None,352,0.565498113632,
2,1766,None,352,0.471481084824,
1,1431,None,352,1.16499710083,
1,1441,None,352,0.86953496933,
2,1794,None,352,0.844175100327,
1,1463,None,352,0.48900604248,
2,1828,None,352,0.320319890976,
1,1481,None,352,0.91640496254,
2,1836,None,352,1.23340988159,
1,1497,None,352,1.6854391098,
1,1532,None,352,0.941745996475,
1,1537,None,352,0.664589881897,
2,1925,None,352,0.402241945267,
1,1586,None,352,0.573455095291,
1,1615,None,352,0.312465906143,
1,1617,None,352,0.690221071243,
2,2002,None,352,1.03872799873,
2,2080,None,352,0.906543970108,
2,2084,None,352,0.50043296814,
1,1696,None,352,0.8856549263,
1,1744,None,352,1.11046600342,
1,1751,None,352,1.54545807838,
2,2195,Unknown,352,0.852246046066,
2,2203,Unknown,352,0.65447306633,
2,2224,Unknown,352,1.26589894295,
1,1822,None,352,0.873785018921,
2,2265,Unknown,352,1.188808918,
1,1870,None,352,0.433367967606,
1,1896,None,352,0.919856071472,
1,1905,None,352,1.55973100662,
1,1919,None,352,1.18542599678,
2,2368,None,352,0.888331890106,
1,1931,None,352,1.02381801605,
1,1933,None,352,1.64081597328,
2,2409,None,352,1.30216908455,
2,2429,None,352,0.398180961609,
2,2435,Unknown,352,1.51875710487,
1,2002,None,352,0.96880197525,
1,2013,None,352,0.572175979614,
2,2478,Unknown,352,1.31507301331,
2,2506,None,352,1.6203110218,
2,2564,None,352,1.38518810272,
1,2101,None,352,0.481750011444,
2,2589,None,352,1.13017010689,
1,2135,None,352,1.08973097801,
1,2143,None,352,1.18829798698,
2,2662,None,352,1.30891489983,
2,2678,None,352,0.707997083664,
1,2190,None,352,0.742814064026,
2,2688,None,352,0.988280057907,
2,2705,None,352,0.771661043167,
1,2232,None,352,0.884625911713,
1,2238,None,352,0.556335926056,
1,2240,None,352,0.880639076233,
2,2763,None,352,0.594022989273,
1,2257,None,352,1.51754689217,
2,2782,None,352,0.718120098114,
1,2289,None,352,0.776947021484,
1,2296,None,352,0.71195602417,
1,2307,None,352,1.20643997192,
1,2336,None,352,1.27506709099,
2,2878,None,352,0.36265206337,
2,2881,None,352,0.683015108109,
2,2887,None,352,0.471446990967,
1,2421,None,352,1.00457310677,
1,2473,None,352,1.26154494286,
1,2499,None,352,0.43531703949,
2,3067,None,352,0.978554964066,
1,2518,None,352,1.04891204834,
1,2523,None,352,0.770688056946,
1,2527,None,352,0.295133113861,
2,3158,None,352,1.08130598068,
1,2588,None,352,0.627897977829,
2,3178,None,352,0.339838027954,
2,3244,None,352,0.691659927368,
1,2649,None,352,0.807013034821,
1,2681,None,352,0.946608066559,
2,3299,None,352,0.921648025513,
2,3305,None,352,0.648865938187,
1,2708,None,352,0.76250910759,
1,2713,None,352,2.0419280529,
2,3348,None,352,0.667382955551,
2,3359,None,352,0.773811101913,
1,2761,None,352,0.703039884567,
1,2790,None,352,0.937930107117,
2,3431,None,352,1.61052393913,
1,2805,None,352,1.21695709229,
1,2834,None,352,0.649812936783,
1,2852,None,352,1.44252896309,
1,2890,None,352,0.441445112228,
2,3598,None,352,1.1148660183,
2,3617,None,352,0.677573919296,
2,3657,None,352,0.311942100525,
1,3050,None,352,1.05098795891,
1,3065,None,352,1.01686906815,
2,3753,None,352,1.56658411026,
1,3122,None,352,0.959918022156,
1,3128,None,352,1.1608479023,
2,3861,None,352,0.678803920746,
2,3866,None,352,1.28205299377,
1,3170,None,352,0.843003988266,
1,3178,None,352,0.82857298851,
2,3921,Aquaman,352,1.35917401314,
