camera,frame,prediction,consumers,latency
2,140,None,352,44.7612349987,
1,124,None,352,41.039274931,
1,168,None,352,35.0864999294,
1,2704,None,352,113.304025888,
2,154,None,352,43.3512189388,
2,426,None,352,14.5380349159,
1,72,None,352,47.6817660332,
1,122,None,352,41.7398440838,
1,3,None,352,57.9709820747,
1,22,None,352,55.0298640728,
1,2677,None,352,118.295922041,
2,3634,None,352,109.356318951,
2,269,None,352,33.6506431103,
2,249,None,352,35.8511669636,
2,353,None,352,25.9079649448,
1,243,None,352,26.1996159554,
1,347,None,352,11.3548049927,
1,47,None,352,53.4805939198,
1,240,None,352,27.5239989758,
1,413,None,352,2.70770406723,
2,547,None,352,3.36771392822,
1,298,None,352,19.5006570816,
2,592,None,352,0.975644111633,
1,460,None,352,0.539781093597,
1,471,None,352,1.21029496193,
2,623,None,352,0.801330089569,
1,495,None,352,0.424379110336,
1,512,None,352,1.03621697426,
1,555,None,352,1.16226410866,
1,587,None,352,1.28171801567,
1,601,None,352,1.18554210663,
2,774,None,352,1.40221095085,
1,604,None,352,0.595163106918,
1,615,None,352,1.11979389191,
2,795,None,352,0.726249933243,
1,631,None,352,0.372833013535,
2,833,None,352,0.989557981491,
1,660,None,352,0.60062289238,
1,675,None,352,0.711605072021,
2,864,None,352,1.38677406311,
1,734,None,352,1.02293992043,
1,768,None,352,0.745189905167,
2,1008,None,352,1.0136859417,
2,1012,None,352,0.614847898483,
2,1142,None,352,0.795209884644,
2,1146,None,352,0.985382080078,
2,1161,None,352,0.616780042648,
2,1176,None,352,0.737519025803,
2,1194,None,352,0.523035049438,
1,955,None,352,1.61640691757,
1,956,None,352,1.21632003784,
1,964,None,352,0.474744081497,
1,995,None,352,0.622047901154,
1,996,None,352,1.21676301956,
1,1020,None,352,0.933104038239,
2,1331,None,352,0.5526471138,
2,1370,None,352,1.02322888374,
1,1135,None,352,1.05563402176,
2,1432,None,352,1.16232895851,
2,1441,None,352,1.26510596275,
2,1448,None,352,0.869294881821,
2,1450,None,352,1.45316505432,
1,1180,None,352,1.07169508934,
1,1182,None,352,0.333139896393,
2,1530,None,352,1.46499800682,
1,1241,None,352,1.07647299767,
1,1249,None,352,1.17630600929,
1,1283,None,352,0.795831918716,
2,1613,None,352,0.902425050735,
2,1634,None,352,0.513700962067,
2,1651,None,352,1.1544148922,
2,1675,None,352,0.878246068954,
2,1683,None,352,0.975919961929,
2,1701,None,352,1.07870006561,
2,1725,None,352,0.682039022446,
2,1774,None,352,0.405956029892,
2,1777,None,352,0.700802087784,
1,1465,None,352,0.893877029419,
1,1473,None,352,0.999857902527,
1,1502,None,352,1.11050391197,
2,1890,None,352,0.422143936157,
2,1893,None,352,1.01924610138,
2,1933,None,352,0.344434022903,
1,1571,None,352,0.43824005127,
1,1577,None,352,1.14864993095,
2,1974,None,352,1.25557303429,
2,1987,None,352,0.871617078781,
1,1611,None,352,1.4953019619,
2,2019,None,352,1.00762796402,
2,2117,None,352,1.23910498619,
2,2137,None,352,0.414099931717,
2,2160,Unknown,352,1.22566699982,
1,1754,None,352,0.820110082626,
2,2188,None,352,0.941019058228,
1,1784,None,352,0.573829889297,
2,2261,Unknown,352,0.727483987808,
1,1860,None,352,1.41914200783,
1,1864,None,352,0.750097990036,
2,2397,None,352,0.951971054077,
1,1957,None,352,0.560378074646,
2,2430,None,352,0.688397884369,
2,2457,Unknown,352,1.10260009766,
2,2533,None,352,0.807480096817,
1,2072,None,352,0.470871925354,
2,2545,None,352,1.06798601151,
2,2572,None,352,1.19484591484,
1,2102,None,352,0.857954025269,
2,2595,None,352,0.61878490448,
2,2617,None,352,1.23207807541,
2,2703,None,352,0.879276037216,
2,2710,None,352,1.2729139328,
2,2731,None,352,0.901933908463,
2,2733,None,352,1.50242495537,
2,2758,None,352,1.11773300171,
1,2252,None,352,0.71506690979,
2,2764,None,352,1.31044793129,
1,2263,None,352,1.41513800621,
2,2807,None,352,1.03971505165,
1,2293,None,352,0.269191026688,
1,2319,None,352,0.973212003708,
2,2852,None,352,0.521862983704,
2,2894,None,352,1.15715408325,
2,2910,None,352,1.26711606979,
1,2374,None,352,1.93203210831,
2,2913,None,352,1.61623692513,
2,2919,None,352,2.28579998016,
1,2387,None,352,1.98783302307,
1,2391,None,352,1.69910407066,
2,3001,None,352,0.376285076141,
1,2450,None,352,0.967567920685,
1,2485,None,352,0.588601112366,
2,3081,None,352,0.704196929932,
1,2541,None,352,1.32392907143,
2,3116,None,352,1.70934796333,
2,3118,None,352,1.1787879467,
1,2556,None,352,1.18712592125,
2,3138,Unknown,352,1.1104259491,
1,2561,None,352,1.70143699646,
1,2572,None,352,0.440296888351,
2,3171,None,352,0.574755907059,
1,2589,None,352,1.17341399193,
2,3183,None,352,0.834467887878,
2,3193,None,352,0.987376928329,
2,3199,None,352,0.666507959366,
1,2643,None,352,0.787324905396,
1,2677,None,352,0.328434944153,
2,3289,None,352,0.732530117035,
2,3312,None,352,0.42343711853,
1,2704,None,352,0.958086013794,
2,3317,None,352,1.22494792938,
2,3319,None,352,1.84343194962,
2,3370,None,352,1.43609905243,
2,3388,None,352,1.08707308769,
1,2765,None,352,1.26946997643,
1,2788,None,352,0.551074981689,
2,3437,None,352,1.15379500389,
1,2817,None,352,0.768722057343,
1,2837,None,352,1.09357190132,
2,3502,None,352,0.713574886322,
1,2889,None,352,0.3303129673,
2,3634,None,352,0.702205896378,
2,3697,None,352,0.833539009094,
2,3736,Unknown,352,0.638422012329,
1,3059,None,352,1.26052093506,
2,3745,None,352,0.546220064163,
2,3756,None,352,1.03645300865,
2,3798,None,352,0.678962945938,
1,3116,None,352,1.14016103745,
2,3877,None,352,0.332693099976,
1,3184,None,352,0.938441038132,
2,3938,None,352,1.06566095352,
2,3945,None,352,0.78301692009,
1,3236,None,352,0.918643951416,
1,3262,None,352,0.533343076706,
1,3292,None,352,1.16309094429,
2,4047,None,352,0.763716936111,
1,3305,None,352,0.946861028671,
1,3304,None,352,1.55107498169,
1,3329,None,352,1.21998310089,
1,3361,None,352,0.84241604805,
1,3376,Unknown,352,1.04618191719,
1,3479,None,352,0.716944932938,
2,4318,Aquaman,352,1.28488898277,
2,4340,Aquaman,352,0.972346067429,
1,3573,None,352,0.965948104858,
2,4423,None,352,1.13519406319,
2,4532,Unknown,352,1.05796504021,
2,4541,Unknown,352,1.14784789085,
2,4544,Unknown,352,2.05879306793,
2,4554,Unknown,352,0.659728050232,
2,4556,Unknown,352,1.58818507195,
1,3778,None,352,1.22228097916,
2,4645,None,352,0.829653978348,
2,4658,None,352,1.02307200432,
2,4683,None,352,0.816171884537,
1,3828,None,352,1.40704298019,
1,3851,None,352,0.443401098251,
1,3880,None,352,0.618941068649,
1,3903,None,352,1.23476099968,
1,3921,None,352,0.901328086853,
1,3971,None,352,0.470763921738,
1,3982,None,352,1.06722688675,
1,3999,None,352,0.458515882492,
2,4906,None,352,0.553145885468,
2,4916,None,352,0.632265090942,
2,4920,None,352,1.22737288475,
1,4023,None,352,0.907655000687,
2,4935,None,352,1.01441788673,
1,4063,None,352,0.647469997406,
1,4077,None,352,0.335601091385,
1,4122,None,352,0.552612066269,
2,5058,None,352,0.642045974731,
1,4175,None,352,0.937272071838,
2,5134,None,352,1.22606801987,
2,5139,None,352,0.782318115234,
1,4205,None,352,1.38309407234,
1,4224,None,352,0.76170706749,
2,5176,None,352,1.36150598526,
2,5185,None,352,1.04606604576,
1,4238,None,352,0.64654302597,
2,5204,None,352,1.17781209946,
1,4251,None,352,0.378000020981,
2,5223,None,352,0.478825092316,
1,4294,None,352,0.405673980713,
